日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2022-11-10,'002304,洋河股份,136.49,136.95,133.63,134.0,135.09,1.4,1.0363,0.2567,3868129,523870989.16,2.0568879212e+11,2.0568879212e+11
2022-11-09,'002304,洋河股份,135.09,138.7,134.6,137.3,137.4,-2.31,-1.6812,0.2482,3739861,507127085.14,2.0357900892e+11,2.0357900892e+11
2022-11-08,'002304,洋河股份,137.4,139.95,136.4,138.29,139.01,-1.61,-1.1582,0.2442,3679518,505162879.11,2.070601512e+11,2.070601512e+11
2022-11-07,'002304,洋河股份,139.01,139.4,137.01,137.7,139.87,-0.86,-0.6149,0.2956,4455394,616758169.57,2.0948640188e+11,2.0948640188e+11
2022-11-04,'002304,洋河股份,139.87,143.3,135.02,135.48,135.48,4.39,3.2403,0.5306,7996757,1118075658.01,2.1078241156e+11,2.1078241156e+11
2022-11-03,'002304,洋河股份,135.48,136.5,134.7,136.0,138.0,-2.52,-1.8261,0.2902,4372706,592663175.11,2.0416673424e+11,2.0416673424e+11
2022-11-02,'002304,洋河股份,138.0,140.12,133.4,135.13,136.49,1.51,1.1063,0.7154,10780307,1475381621.24,2.07964344e+11,2.07964344e+11
2022-11-01,'002304,洋河股份,136.49,136.49,132.26,133.3,130.65,5.84,4.47,0.7024,10584607,1426816535.05,2.0568879212e+11,2.0568879212e+11
2022-10-31,'002304,洋河股份,130.65,132.36,126.2,129.92,131.97,-1.32,-1.0002,0.401,6042591,788020629.29,1.968879822e+11,1.968879822e+11
2022-10-28,'002304,洋河股份,131.97,135.0,130.5,132.04,129.92,2.05,1.5779,0.5715,8612175,1143818700.47,1.9887720636e+11,1.9887720636e+11
2022-10-27,'002304,洋河股份,129.92,135.47,129.22,133.93,133.89,-3.97,-2.9651,0.7067,10649981,1400690813.67,1.9578788096e+11,1.9578788096e+11
2022-10-26,'002304,洋河股份,133.89,137.13,132.45,135.07,135.09,-1.2,-0.8883,0.5433,8187657,1099433823.6,2.0177062332e+11,2.0177062332e+11
2022-10-25,'002304,洋河股份,135.09,138.0,133.05,133.77,133.7,1.39,1.0396,0.4795,7226731,976926730.34,2.0357900892e+11,2.0357900892e+11
2022-10-24,'002304,洋河股份,133.7,139.95,133.36,139.05,141.38,-7.68,-5.4322,0.5671,8546157,1159780622.04,2.014842956e+11,2.014842956e+11
2022-10-21,'002304,洋河股份,141.38,143.5,139.9,142.91,142.79,-1.41,-0.9875,0.2562,3860659,548055200.6,2.1305796344e+11,2.1305796344e+11
2022-10-20,'002304,洋河股份,142.79,143.66,138.5,140.0,141.13,1.66,1.1762,0.3671,5531631,782619331.24,2.1518281652e+11,2.1518281652e+11
2022-10-19,'002304,洋河股份,141.13,147.61,140.0,147.0,147.3,-6.17,-4.1887,0.6395,9637737,1374667295.41,2.1268121644e+11,2.1268121644e+11
2022-10-18,'002304,洋河股份,147.3,152.8,146.55,150.61,150.51,-3.21,-2.1327,0.3898,5874254,870310926.41,2.219793324e+11,2.219793324e+11
2022-10-17,'002304,洋河股份,150.51,153.99,148.46,153.36,153.36,-2.85,-1.8584,0.3866,5826724,875049370.17,2.2681676388e+11,2.2681676388e+11
2022-10-14,'002304,洋河股份,153.36,155.02,151.0,152.0,150.93,2.43,1.61,0.2909,4383995,673296102.71,2.3111167968e+11,2.3111167968e+11
2022-10-13,'002304,洋河股份,150.93,152.0,148.5,152.0,152.69,-1.76,-1.1527,0.2477,3733441,561988465.82,2.2744969884e+11,2.2744969884e+11
2022-10-12,'002304,洋河股份,152.69,153.7,148.13,153.64,153.8,-1.11,-0.7217,0.306,4611747,695225416.19,2.3010199772e+11,2.3010199772e+11
2022-10-11,'002304,洋河股份,153.8,155.0,149.27,154.37,154.38,-0.58,-0.3757,0.2819,4248014,648899850.78,2.317747544e+11,2.317747544e+11
2022-10-10,'002304,洋河股份,154.38,160.11,153.86,158.19,158.15,-3.77,-2.3838,0.3782,5698709,891511818.38,2.3264880744e+11,2.3264880744e+11
2022-09-30,'002304,洋河股份,158.15,162.25,157.77,162.08,159.43,-1.28,-0.8029,0.288,4339465,691237112.9,2.383301522e+11,2.383301522e+11
2022-09-29,'002304,洋河股份,159.43,162.47,158.42,160.95,158.19,1.24,0.7839,0.4756,7167048,1147999915.91,2.4025909684e+11,2.4025909684e+11
2022-09-28,'002304,洋河股份,158.19,162.26,156.08,156.8,156.75,1.44,0.9187,0.5097,7680377,1223976842.6,2.3839043172e+11,2.3839043172e+11
2022-09-27,'002304,洋河股份,156.75,157.65,150.32,152.0,151.07,5.68,3.7598,0.5554,8369390,1300380459.67,2.36220369e+11,2.36220369e+11
2022-09-26,'002304,洋河股份,151.07,153.0,145.81,145.86,147.04,4.03,2.7408,0.4765,7181108,1085798627.64,2.2766067716e+11,2.2766067716e+11
2022-09-23,'002304,洋河股份,147.04,149.11,145.36,145.85,145.86,1.18,0.809,0.2334,3517543,518496685.13,2.2158751552e+11,2.2158751552e+11
2022-09-22,'002304,洋河股份,145.86,148.08,145.58,147.01,147.88,-2.02,-1.366,0.1795,2704912,395916062.47,2.1980926968e+11,2.1980926968e+11
2022-09-21,'002304,洋河股份,147.88,151.7,147.78,149.13,149.13,-1.25,-0.8382,0.2228,3357351,500763759.63,2.2285338544e+11,2.2285338544e+11
2022-09-20,'002304,洋河股份,149.13,150.5,146.0,147.0,146.81,2.32,1.5803,0.3198,4819302,717970418.69,2.2473712044e+11,2.2473712044e+11
2022-09-19,'002304,洋河股份,146.81,148.78,143.36,145.0,145.02,1.79,1.2343,0.3278,4940561,724048902.67,2.2124090828e+11,2.2124090828e+11
2022-09-16,'002304,洋河股份,145.02,148.9,145.02,147.21,148.28,-3.26,-2.1985,0.2557,3853308,562616164.62,2.1854339976e+11,2.1854339976e+11
2022-09-15,'002304,洋河股份,148.28,150.97,147.1,149.6,148.85,-0.57,-0.3829,0.3034,4572168,681283852.8,2.2345618064e+11,2.2345618064e+11
2022-09-14,'002304,洋河股份,148.85,150.89,148.2,149.96,151.54,-2.69,-1.7751,0.2632,3965846,592517112.28,2.243151638e+11,2.243151638e+11
2022-09-13,'002304,洋河股份,151.54,153.92,148.5,148.5,147.76,3.78,2.5582,0.4891,7370589,1117444141.42,2.2836896152e+11,2.2836896152e+11
2022-09-09,'002304,洋河股份,147.76,148.76,145.69,147.59,146.66,1.1,0.75,0.3418,5150951,761064506.73,2.2267254688e+11,2.2267254688e+11
2022-09-08,'002304,洋河股份,146.66,149.76,146.5,148.1,147.99,-1.33,-0.8987,0.3585,5402817,797837041.49,2.2101486008e+11,2.2101486008e+11
2022-09-07,'002304,洋河股份,147.99,149.7,145.05,149.67,150.78,-2.79,-1.8504,0.5228,7878823,1161064216.31,2.2301915412e+11,2.2301915412e+11
2022-09-06,'002304,洋河股份,150.78,152.44,149.75,151.11,151.12,-0.34,-0.225,0.3553,5353684,806613352.01,2.2722365064e+11,2.2722365064e+11
2022-09-05,'002304,洋河股份,151.12,153.5,148.31,153.5,154.41,-3.29,-2.1307,0.4642,6994730,1051421920.92,2.2773602656e+11,2.2773602656e+11
2022-09-02,'002304,洋河股份,154.41,160.4,152.5,159.59,159.58,-5.17,-3.2398,0.6024,9078069,1404834504.88,2.3269401708e+11,2.3269401708e+11
2022-09-01,'002304,洋河股份,159.58,165.66,159.39,162.3,164.46,-4.88,-2.9673,0.4651,7008950,1130853609.46,2.4048514504e+11,2.4048514504e+11
2022-08-31,'002304,洋河股份,164.46,166.99,162.14,162.95,163.85,0.61,0.3723,0.4412,6648400,1096307167.49,2.4783924648e+11,2.4783924648e+11
2022-08-30,'002304,洋河股份,163.85,165.08,159.0,165.08,165.28,-1.43,-0.8652,0.5468,8239811,1338518066.2,2.469199838e+11,2.469199838e+11
2022-08-29,'002304,洋河股份,165.28,177.83,164.0,175.31,174.43,-9.15,-5.2457,0.8825,13299305,2236471413.96,2.4907497664e+11,2.4907497664e+11
2022-08-26,'002304,洋河股份,174.43,178.54,172.4,174.94,173.0,1.43,0.8266,0.4494,6771755,1186868531.18,2.6286391684e+11,2.6286391684e+11
2022-08-25,'002304,洋河股份,173.0,173.01,168.6,169.5,169.5,3.5,2.0649,0.2731,4115487,706112578.61,2.60708924e+11,2.60708924e+11
2022-08-24,'002304,洋河股份,169.5,173.0,168.51,170.59,170.59,-1.09,-0.639,0.2451,3693724,630385251.13,2.55434466e+11,2.55434466e+11
2022-08-23,'002304,洋河股份,170.59,175.08,170.03,173.1,173.97,-3.38,-1.9429,0.2825,4256840,730530173.02,2.5707708292e+11,2.5707708292e+11
2022-08-22,'002304,洋河股份,173.97,176.0,169.0,169.0,170.85,3.12,1.8262,0.3624,5461630,949189815.01,2.6217070236e+11,2.6217070236e+11
2022-08-19,'002304,洋河股份,170.85,174.21,167.6,167.9,168.8,2.05,1.2145,0.3473,5233102,898718517.37,2.574688998e+11,2.574688998e+11
2022-08-18,'002304,洋河股份,168.8,173.7,167.51,173.5,174.7,-5.9,-3.3772,0.4569,6885347,1166488295.49,2.543795744e+11,2.543795744e+11
2022-08-17,'002304,洋河股份,174.7,175.38,169.0,172.71,172.3,2.4,1.3929,0.2519,3796368,657735977.33,2.632708036e+11,2.632708036e+11
2022-08-16,'002304,洋河股份,172.3,173.8,171.46,172.51,172.3,0.0,0.0,0.1873,2823099,486703277.27,2.596540324e+11,2.596540324e+11
2022-08-15,'002304,洋河股份,172.3,178.53,171.88,174.4,175.01,-2.71,-1.5485,0.3399,5122733,892422535.04,2.596540324e+11,2.596540324e+11
2022-08-12,'002304,洋河股份,175.01,176.93,168.48,169.1,168.33,6.68,3.9684,0.4017,6053970,1051999418.16,2.6373796988e+11,2.6373796988e+11
2022-08-11,'002304,洋河股份,168.33,168.67,164.85,166.56,166.48,1.85,1.1112,0.2278,3433163,575888990.97,2.5367129004e+11,2.5367129004e+11
2022-08-10,'002304,洋河股份,166.48,168.34,163.76,166.05,166.05,0.43,0.259,0.2444,3682557,610375425.42,2.5088336224e+11,2.5088336224e+11
2022-08-09,'002304,洋河股份,166.05,167.7,165.3,166.56,167.1,-1.05,-0.6284,0.1367,2059806,342925766.81,2.502353574e+11,2.502353574e+11
2022-08-08,'002304,洋河股份,167.1,170.52,166.81,168.0,168.84,-1.74,-1.0306,0.1825,2294815,385902677.09,2.518176948e+11,2.101295868e+11
2022-08-05,'002304,洋河股份,168.84,170.9,167.51,168.4,169.26,-0.42,-0.2481,0.2299,2891355,488043258.5,2.5443985392e+11,2.1231765072e+11
2022-08-04,'002304,洋河股份,169.26,170.33,166.35,167.46,166.0,3.26,1.9639,0.2293,2883257,486356637.21,2.5507278888e+11,2.1284580408e+11
2022-08-03,'002304,洋河股份,166.0,168.55,165.17,167.5,165.92,0.08,0.0482,0.2295,2886596,480989684.54,2.50160008e+11,2.08746328e+11
2022-08-02,'002304,洋河股份,165.92,169.0,165.5,167.67,169.05,-3.13,-1.8515,0.3507,4409805,734374016.05,2.5003944896e+11,2.0864572736e+11
2022-08-01,'002304,洋河股份,169.05,171.99,165.0,165.0,165.2,3.85,2.3305,0.4203,5284859,895211656.15,2.547563214e+11,2.125817274e+11
2022-07-29,'002304,洋河股份,165.2,171.99,164.7,170.33,171.0,-5.8,-3.3918,0.4375,5502003,918327200.71,2.489544176e+11,2.077403216e+11
2022-07-28,'002304,洋河股份,171.0,174.39,170.67,171.5,171.39,-0.39,-0.2276,0.2177,2737223,472353480.63,2.57694948e+11,2.15033868e+11
2022-07-27,'002304,洋河股份,171.39,174.89,169.0,171.2,172.89,-1.5,-0.8676,0.3003,3776125,647316429.19,2.5828267332e+11,2.1552429612e+11
2022-07-26,'002304,洋河股份,172.89,173.9,170.55,170.55,171.05,1.84,1.0757,0.1985,2495781,431558677.9,2.6054315532e+11,2.1741055812e+11
2022-07-25,'002304,洋河股份,171.05,172.26,167.38,170.39,170.39,0.66,0.3873,0.2555,3212779,547561790.31,2.577702974e+11,2.150967434e+11
2022-07-22,'002304,洋河股份,170.39,171.4,168.71,169.22,168.5,1.89,1.1217,0.2702,3397211,578590120.04,2.5677568532e+11,2.1426678812e+11
2022-07-21,'002304,洋河股份,168.5,172.47,168.5,172.2,172.1,-3.6,-2.0918,0.2895,3640699,618922670.07,2.53927478e+11,2.11890098e+11
2022-07-20,'002304,洋河股份,172.1,174.0,170.4,171.9,170.66,1.44,0.8438,0.2022,2542086,437281149.27,2.593526348e+11,2.164171268e+11
2022-07-19,'002304,洋河股份,170.66,171.49,167.51,169.59,169.6,1.06,0.625,0.2503,3147621,533922990.55,2.5718257208e+11,2.1460631528e+11
2022-07-18,'002304,洋河股份,169.6,173.69,166.29,172.5,172.5,-2.9,-1.6812,0.3823,4807806,813907396.57,2.555851648e+11,2.132733568e+11
2022-07-15,'002304,洋河股份,172.5,176.78,172.0,173.01,173.01,-0.51,-0.2948,0.344,4326183,755226058.26,2.5995543e+11,2.1692013e+11
2022-07-14,'002304,洋河股份,173.01,174.66,170.75,172.88,173.4,-0.39,-0.2249,0.1964,2469988,427151863.27,2.6072399388e+11,2.1756145908e+11
