日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2022-11-10,'600559,老白干酒,23.23,23.28,22.75,22.81,22.97,0.26,1.1319,1.4923,13389837,309255214.0,21249583124.1,20843987324.1
2022-11-09,'600559,老白干酒,22.97,23.2,22.87,22.87,23.02,-0.05,-0.2172,0.8989,8065433,185396192.0,21011748788.7,20610692588.7
2022-11-08,'600559,老白干酒,23.02,23.56,22.75,23.11,23.2,-0.18,-0.7759,1.5371,13792435,317937441.0,21057486160.9,20655556960.9
2022-11-07,'600559,老白干酒,23.2,23.28,22.71,22.82,23.09,0.11,0.4764,1.6629,14920750,343884222.0,21222140700.8,20817068700.8
2022-11-04,'600559,老白干酒,23.09,23.4,22.07,22.18,22.19,0.9,4.0559,3.2591,29243377,672064977.0,21121518482.0,20718367082.0
2022-11-03,'600559,老白干酒,22.19,22.23,21.95,22.0,22.37,-0.18,-0.8046,1.3501,12113957,267602795.0,20298245782.4,19910808382.4
2022-11-02,'600559,老白干酒,22.37,22.85,21.89,22.24,22.28,0.09,0.4039,2.9697,26646502,595441792.0,20462900322.3,20072320122.3
2022-11-01,'600559,老白干酒,22.28,22.3,21.34,21.35,21.23,1.05,4.9458,3.0732,27575334,604980928.0,20380573052.3,19991564252.3
2022-10-31,'600559,老白干酒,21.23,21.49,20.5,20.9,20.91,0.32,1.5304,1.7812,15982225,338236557.0,19420088236.1,19049412436.1
2022-10-28,'600559,老白干酒,20.91,21.55,20.87,21.35,21.4,-0.49,-2.2897,1.6666,14953747,316134352.0,19127369054.0,18762280454.0
2022-10-27,'600559,老白干酒,21.4,22.1,21.2,21.9,21.79,-0.39,-1.7898,1.722,15451140,332981536.0,19575595301.6,19201951301.6
2022-10-26,'600559,老白干酒,21.79,22.19,21.55,21.55,21.54,0.25,1.1606,1.6337,14658835,321050209.0,19932346804.8,19551893404.8
2022-10-25,'600559,老白干酒,21.54,21.75,21.2,21.3,21.45,0.09,0.4196,1.2404,11130342,239108948.0,19703659943.8,19327571543.8
2022-10-24,'600559,老白干酒,21.45,22.33,21.38,22.23,22.25,-0.8,-3.5955,1.7326,15546247,337198945.0,19621332673.8,19246815673.8
2022-10-21,'600559,老白干酒,22.25,22.78,22.1,22.78,22.74,-0.49,-2.1548,1.1762,10554182,236008259.0,20353130629.0,19964645629.0
2022-10-20,'600559,老白干酒,22.74,22.97,22.29,22.39,22.61,0.13,0.575,1.152,10336516,234696713.0,20801356876.6,20404316476.6
2022-10-19,'600559,老白干酒,22.61,23.15,22.6,23.15,23.2,-0.59,-2.5431,1.5979,14338073,326579773.0,20682439708.8,20287669108.8
2022-10-18,'600559,老白干酒,23.2,23.65,23.12,23.55,23.44,-0.24,-1.0239,1.2334,11066774,257680176.0,21222140700.8,20817068700.8
2022-10-17,'600559,老白干酒,23.44,23.64,23.0,23.35,23.55,-0.11,-0.4671,1.3136,11786960,274068598.0,21441680087.4,21032417687.4
2022-10-14,'600559,老白干酒,23.55,23.66,22.93,22.93,22.88,0.67,2.9283,1.7863,16028035,375209570.0,21542302306.2,21131119306.2
2022-10-13,'600559,老白干酒,22.88,23.36,22.66,23.04,22.72,0.16,0.7042,1.8279,16401510,377006197.0,20929421518.7,20529936718.7
2022-10-12,'600559,老白干酒,22.72,22.99,22.0,22.98,22.99,-0.27,-1.1744,1.7475,15680177,351366348.0,20783061927.7,20386370727.7
2022-10-11,'600559,老白干酒,22.99,22.99,21.85,22.49,22.53,0.46,2.0417,1.5488,13897199,313064852.0,21030043737.6,20628638337.6
2022-10-10,'600559,老白干酒,22.53,23.83,22.4,23.83,23.83,-1.3,-5.4553,1.487,13342596,307928893.0,20609259913.3,20215886113.3
2022-09-30,'600559,老白干酒,23.83,24.55,23.71,24.3,24.3,-0.47,-1.9342,1.2718,11412007,274608031.0,21798431590.5,21382359790.5
2022-09-29,'600559,老白干酒,24.3,24.81,24.11,24.5,24.23,0.07,0.2889,1.7338,15557551,379901195.0,22228362889.2,21804084889.2
2022-09-28,'600559,老白干酒,24.23,24.68,24.0,24.2,24.3,-0.07,-0.2881,2.1086,18920180,461636056.0,22164330568.1,21741274768.1
2022-09-27,'600559,老白干酒,24.3,24.3,23.2,23.39,23.38,0.92,3.935,2.082,18681436,446032257.0,22228362889.2,21804084889.2
2022-09-26,'600559,老白干酒,23.38,23.88,23.18,23.3,23.41,-0.03,-0.1282,1.2415,11140230,262562935.0,21386795240.7,20978580440.7
2022-09-23,'600559,老白干酒,23.41,23.67,23.01,23.51,23.46,-0.05,-0.2131,1.1031,9897715,231983225.0,21414237664.0,21005499064.0
