日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2022-11-10,'000929,兰州黄河,9.6,9.7,9.22,9.22,9.34,0.26,2.7837,6.7341,12509677,118908362.62,1783353600.0,1783353600.0
2022-11-09,'000929,兰州黄河,9.34,9.42,9.13,9.36,9.35,-0.01,-0.107,5.3741,9983200,92820260.0,1735054440.0,1735054440.0
2022-11-08,'000929,兰州黄河,9.35,9.54,9.22,9.29,9.3,0.05,0.5376,6.1102,11350600,105826950.0,1736912100.0,1736912100.0
2022-11-07,'000929,兰州黄河,9.3,9.33,9.02,9.12,9.2,0.1,1.087,7.3662,13683897,126481364.35,1727623800.0,1727623800.0
2022-11-04,'000929,兰州黄河,9.2,9.25,8.81,8.82,8.82,0.38,4.3084,10.0508,18670943,169538102.98,1709047200.0,1709047200.0
2022-11-03,'000929,兰州黄河,8.82,8.84,8.61,8.7,8.72,0.1,1.1468,6.0175,11178500,97851722.0,1638456120.0,1638456120.0
2022-11-02,'000929,兰州黄河,8.72,8.95,8.49,8.59,8.59,0.13,1.5134,7.8816,14641424,127489352.94,1619879520.0,1619879520.0
2022-11-01,'000929,兰州黄河,8.59,8.61,8.23,8.25,8.2,0.39,4.7561,7.3177,13593753,115180506.67,1595729940.0,1595729940.0
2022-10-31,'000929,兰州黄河,8.2,8.36,8.15,8.21,8.23,-0.03,-0.3645,5.3675,9970982,82247791.68,1523281200.0,1523281200.0
2022-10-28,'000929,兰州黄河,8.23,8.85,8.19,8.81,8.83,-0.6,-6.795,8.3754,15558700,130908697.0,1528854180.0,1528854180.0
2022-10-27,'000929,兰州黄河,8.83,8.94,8.6,8.6,9.08,-0.25,-2.7533,9.6623,17949300,158102183.0,1640313780.0,1640313780.0
2022-10-26,'000929,兰州黄河,9.08,9.24,9.01,9.03,9.12,-0.04,-0.4386,8.6278,16027482,146055452.02,1686755280.0,1686755280.0
2022-10-25,'000929,兰州黄河,9.12,9.25,8.69,8.93,8.92,0.2,2.2422,10.7283,19929625,179659534.0,1694185920.0,1694185920.0
2022-10-24,'000929,兰州黄河,8.92,9.44,8.91,9.43,9.4,-0.48,-5.1064,8.735,16226741,148938700.07,1657032720.0,1657032720.0
2022-10-21,'000929,兰州黄河,9.4,9.78,9.3,9.78,9.86,-0.46,-4.6653,11.2255,20853246,198339847.64,1746200400.0,1746200400.0
2022-10-20,'000929,兰州黄河,9.86,10.42,9.4,9.48,9.52,0.34,3.5714,16.3069,30292641,299952422.32,1831652760.0,1831652760.0
2022-10-19,'000929,兰州黄河,9.52,9.75,9.41,9.72,9.72,-0.2,-2.0576,9.1414,16981561,162282460.99,1768492320.0,1768492320.0
2022-10-18,'000929,兰州黄河,9.72,10.13,9.71,9.96,9.95,-0.23,-2.3116,10.7776,20021159,197459982.79,1805645520.0,1805645520.0
2022-10-17,'000929,兰州黄河,9.95,10.02,9.68,9.92,9.91,0.04,0.4036,12.9428,24043412,236788117.87,1848371700.0,1848371700.0
2022-10-14,'000929,兰州黄河,9.91,10.41,9.51,9.66,9.64,0.27,2.8008,19.3742,35990692,358169656.11,1840941060.0,1840941060.0
2022-10-13,'000929,兰州黄河,9.64,9.75,9.25,9.29,9.48,0.16,1.6878,15.4366,28675914,274393091.86,1790784240.0,1790784240.0
2022-10-12,'000929,兰州黄河,9.48,9.52,9.01,9.49,9.49,-0.01,-0.1054,13.2757,24661728,228527533.88,1761061680.0,1761061680.0
2022-10-11,'000929,兰州黄河,9.49,9.6,9.17,9.52,9.68,-0.19,-1.9628,14.5113,26957073,253359453.51,1762919340.0,1762919340.0
2022-10-10,'000929,兰州黄河,9.68,10.55,9.68,10.4,10.76,-1.08,-10.0372,15.8323,29410951,293913941.47,1798214880.0,1798214880.0
2022-09-30,'000929,兰州黄河,10.76,11.75,10.76,11.2,11.95,-1.19,-9.9582,20.1261,37387529,418766424.0,1998842160.0,1998842160.0
2022-09-29,'000929,兰州黄河,11.95,12.77,11.95,12.5,13.28,-1.33,-10.0151,19.1461,35566939,438542492.19,2219903700.0,2219903700.0
2022-09-28,'000929,兰州黄河,13.28,13.28,12.2,12.57,12.07,1.21,10.0249,34.1055,63356483,824519202.64,2466972480.0,2466972480.0
2022-09-27,'000929,兰州黄河,12.07,12.07,10.53,10.7,10.97,1.1,10.0273,23.4821,43621837,492483311.94,2242195620.0,2242195620.0
2022-09-26,'000929,兰州黄河,10.97,10.97,9.99,9.99,9.97,1.0,10.0301,6.8859,12791673,137726621.99,2037853020.0,2037853020.0
2022-09-23,'000929,兰州黄河,9.97,10.85,9.93,10.34,10.39,-0.42,-4.0423,17.1755,31906287,333050681.12,1852087020.0,1852087020.0
2022-09-22,'000929,兰州黄河,10.39,10.64,10.04,10.1,10.03,0.36,3.5892,16.8692,31337282,324807845.82,1930108740.0,1930108740.0
2022-09-21,'000929,兰州黄河,10.03,10.26,9.81,9.97,10.44,-0.41,-3.9272,13.2923,24692568,248306251.14,1863232980.0,1863232980.0
2022-09-20,'000929,兰州黄河,10.44,11.12,10.08,10.13,10.13,0.31,3.0602,23.5214,43694748,455192825.18,1939397040.0,1939397040.0
2022-09-19,'000929,兰州黄河,10.13,10.13,9.07,9.14,9.21,0.92,9.9891,12.4848,23192580,225164308.42,1881809580.0,1881809580.0
2022-09-16,'000929,兰州黄河,9.21,9.58,9.12,9.55,9.77,-0.56,-5.7318,9.8388,18277200,169430467.14,1710904860.0,1710904860.0
2022-09-15,'000929,兰州黄河,9.77,9.89,9.36,9.6,10.01,-0.24,-2.3976,14.8308,27550669,264600124.23,1814933820.0,1814933820.0
2022-09-14,'000929,兰州黄河,10.01,10.47,9.24,9.26,9.52,0.49,5.1471,21.4532,39852773,391605719.82,1859517660.0,1859517660.0
2022-09-13,'000929,兰州黄河,9.52,9.52,8.6,8.61,8.65,0.87,10.0578,8.5541,15890596,148291309.92,1768492320.0,1768492320.0
2022-09-09,'000929,兰州黄河,8.65,8.9,8.6,8.82,8.98,-0.33,-3.6748,3.9734,7381200,64089220.0,1606875900.0,1606875900.0
