ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2022-11-10,'000729,Ñà¾©Æ¡¾Æ,10.95,11.02,10.31,10.4,10.46,0.49,4.6845,1.5263,38305608,411341727.69,30863005784.0,27480390103.7
2022-11-09,'000729,Ñà¾©Æ¡¾Æ,10.46,10.63,10.35,10.43,10.55,-0.09,-0.8531,0.8297,20821678,218016851.47,29481921506.9,26250674016.8
2022-11-08,'000729,Ñà¾©Æ¡¾Æ,10.55,10.87,10.42,10.72,10.66,-0.11,-1.0319,1.12,28108044,297456145.58,29735590047.5,26476540236.8
2022-11-07,'000729,Ñà¾©Æ¡¾Æ,10.66,10.78,10.41,10.5,10.6,0.06,0.566,1.8591,46657449,495928731.12,30045629375.1,26752598950.2
2022-11-04,'000729,Ñà¾©Æ¡¾Æ,10.6,10.62,9.68,9.77,9.65,0.95,9.8446,2.7322,68568590,711918496.94,29876517014.6,26602021470.2
2022-11-03,'000729,Ñà¾©Æ¡¾Æ,9.65,9.96,9.57,9.75,9.72,-0.07,-0.7202,1.6389,41130144,401310148.73,27198904640.7,24217878036.5
2022-11-02,'000729,Ñà¾©Æ¡¾Æ,9.72,9.87,8.83,8.88,8.97,0.75,8.3612,2.1529,54028890,520183607.14,27396202394.5,24393551763.2
2022-11-01,'000729,Ñà¾©Æ¡¾Æ,8.97,9.0,8.52,8.53,8.53,0.44,5.1583,0.9521,23893308,210535171.34,25282297888.8,22511333263.0
2022-10-31,'000729,Ñà¾©Æ¡¾Æ,8.53,8.77,8.36,8.77,8.76,-0.23,-2.6256,0.9114,22871556,194793309.51,24042140578.7,21407098409.5
2022-10-28,'000729,Ñà¾©Æ¡¾Æ,8.76,8.92,8.55,8.78,8.81,-0.05,-0.5675,0.9006,22601289,197046700.83,24690404627.2,21984312082.9
2022-10-27,'000729,Ñà¾©Æ¡¾Æ,8.81,9.14,8.76,9.09,9.08,-0.27,-2.9736,0.7603,19079625,170264853.27,24831331594.2,22109793316.3
2022-10-26,'000729,Ñà¾©Æ¡¾Æ,9.08,9.24,9.01,9.08,9.03,0.05,0.5537,0.641,16087364,146465239.5,25592337216.3,22787391976.4
2022-10-25,'000729,Ñà¾©Æ¡¾Æ,9.03,9.17,8.76,8.97,9.03,0.0,0.0,0.938,23539688,211425293.2,25451410249.2,22661910743.0
2022-10-24,'000729,Ñà¾©Æ¡¾Æ,9.03,9.52,8.96,9.52,9.46,-0.43,-4.5455,1.0435,26186827,238433252.96,25451410249.2,22661910743.0
2022-10-21,'000729,Ñà¾©Æ¡¾Æ,9.46,9.53,9.24,9.26,9.29,0.17,1.8299,0.6648,16683417,157152830.18,26663382165.9,23741049349.8
2022-10-20,'000729,Ñà¾©Æ¡¾Æ,9.29,9.48,9.11,9.2,9.25,0.04,0.4324,0.754,18922921,175708263.49,26184230477.9,23314413156.4
2022-10-19,'000729,Ñà¾©Æ¡¾Æ,9.25,9.81,9.24,9.81,9.81,-0.56,-5.7085,1.1068,27777464,261776459.07,26071488904.2,23214028169.8
2022-10-18,'000729,Ñà¾©Æ¡¾Æ,9.81,9.88,9.51,9.63,9.62,0.19,1.9751,1.0155,25485214,248431079.78,27649870935.2,24619417983.3
2022-10-17,'000729,Ñà¾©Æ¡¾Æ,9.62,9.84,9.52,9.56,9.61,0.01,0.1041,0.8471,21259977,205924353.55,27114348460.4,24142589296.5
2022-10-14,'000729,Ñà¾©Æ¡¾Æ,9.61,9.7,9.32,9.4,9.37,0.24,2.5614,0.8302,20835667,198982247.58,27086163067.0,24117493049.9
2022-10-13,'000729,Ñà¾©Æ¡¾Æ,9.37,9.48,9.23,9.42,9.46,-0.09,-0.9514,0.742,18620491,174292643.2,26409713625.2,23515183129.8
2022-10-12,'000729,Ñà¾©Æ¡¾Æ,9.46,9.51,8.83,8.92,8.95,0.51,5.6983,1.2442,31224018,285955298.27,26663382165.9,23741049349.8
2022-10-11,'000729,Ñà¾©Æ¡¾Æ,8.95,9.03,8.8,9.02,9.01,-0.06,-0.6659,0.7261,18223382,162319582.21,25225927102.0,22461140769.7
2022-10-10,'000729,Ñà¾©Æ¡¾Æ,9.01,9.36,8.9,9.34,9.33,-0.32,-3.4298,1.1609,29133285,263356178.57,25395039462.4,22611718249.7
2022-09-30,'000729,Ñà¾©Æ¡¾Æ,9.33,9.7,9.32,9.39,9.38,-0.05,-0.533,0.9315,23377747,221318872.64,26296972051.5,23414798143.1
2022-09-29,'000729,Ñà¾©Æ¡¾Æ,9.38,9.68,9.32,9.63,9.53,-0.15,-1.574,0.9893,24828849,234605159.8,26437899018.6,23540279376.5
2022-09-28,'000729,Ñà¾©Æ¡¾Æ,9.53,9.96,9.5,9.89,9.93,-0.4,-4.0282,1.8665,46841402,452371140.67,26860679919.7,23916723076.5
2022-09-27,'000729,Ñà¾©Æ¡¾Æ,9.93,9.97,9.48,9.55,9.58,0.35,3.6534,1.5218,38191309,373255952.04,27988095656.1,24920572943.3
2022-09-26,'000729,Ñà¾©Æ¡¾Æ,9.58,9.72,9.23,9.27,9.35,0.23,2.4599,1.4603,36648914,352044627.05,27001606886.8,24042204309.9
2022-09-23,'000729,Ñà¾©Æ¡¾Æ,9.35,9.54,9.18,9.27,9.29,0.06,0.6459,1.1358,28504230,267527078.63,26353342838.3,23464990636.5
2022-09-22,'000729,Ñà¾©Æ¡¾Æ,9.29,9.33,9.12,9.23,9.24,0.05,0.5411,0.8953,22469160,207763399.88,26184230477.9,23314413156.4
2022-09-21,'000729,Ñà¾©Æ¡¾Æ,9.24,9.34,9.01,9.28,9.18,0.06,0.6536,1.013,25421938,233741712.34,26043303510.8,23188931923.1
2022-09-20,'000729,Ñà¾©Æ¡¾Æ,9.18,9.29,8.8,8.87,8.86,0.32,3.6117,1.2787,32089897,291579892.23,25874191150.4,23038354443.1
2022-09-19,'000729,Ñà¾©Æ¡¾Æ,8.86,8.99,8.35,8.5,8.53,0.33,3.8687,1.3532,33960726,296950951.16,24972258561.3,22235274549.6
2022-09-16,'000729,Ñà¾©Æ¡¾Æ,8.53,8.93,8.5,8.83,8.84,-0.31,-3.5068,0.8997,22578592,194411619.36,24042140578.7,21407098409.5
2022-09-15,'000729,Ñà¾©Æ¡¾Æ,8.84,9.09,8.73,9.04,8.97,-0.13,-1.4493,0.6262,15716442,139614111.34,24915887774.4,22185082056.3
2022-09-14,'000729,Ñà¾©Æ¡¾Æ,8.97,9.12,8.9,8.96,9.08,-0.11,-1.2115,0.5532,13883683,124773991.21,25282297888.8,22511333263.0
2022-09-13,'000729,Ñà¾©Æ¡¾Æ,9.08,9.24,9.04,9.1,9.1,-0.02,-0.2198,0.8012,20107908,183404203.99,25592337216.3,22787391976.4
2022-09-09,'000729,Ñà¾©Æ¡¾Æ,9.1,9.16,8.81,8.83,8.86,0.24,2.7088,0.8034,20161176,182097847.02,25648708003.1,22837584469.7
2022-09-08,'000729,Ñà¾©Æ¡¾Æ,8.86,9.01,8.79,8.9,8.91,-0.05,-0.5612,0.5439,13649281,121088496.07,24972258561.3,22235274549.6
2022-09-07,'000729,Ñà¾©Æ¡¾Æ,8.91,9.07,8.83,9.02,9.07,-0.16,-1.7641,0.6754,16949900,151211920.0,25113185528.3,22360755783.0
2022-09-06,'000729,Ñà¾©Æ¡¾Æ,9.07,9.09,8.88,9.0,9.0,0.07,0.7778,0.7525,18885050,170427077.48,25564151822.9,22762295729.7
2022-09-05,'000729,Ñà¾©Æ¡¾Æ,9.0,9.16,8.83,9.05,9.14,-0.14,-1.5317,1.2166,30532574,273852341.88,25366854069.0,22586622003.0
2022-09-02,'000729,Ñà¾©Æ¡¾Æ,9.14,9.21,8.9,9.17,9.16,-0.02,-0.2183,1.5236,38237463,346882667.58,25761449576.7,22937969456.4
2022-09-01,'000729,Ñà¾©Æ¡¾Æ,9.16,9.43,9.0,9.13,9.15,0.01,0.1093,1.8381,46128850,425976747.81,25817820363.6,22988161949.7
2022-08-31,'000729,Ñà¾©Æ¡¾Æ,9.15,9.29,9.03,9.07,9.14,0.01,0.1094,1.4067,35303044,324012015.4,25789634970.2,22963065703.0
2022-08-30,'000729,Ñà¾©Æ¡¾Æ,9.14,9.31,8.82,8.82,8.93,0.21,2.3516,1.73,43416368,395902973.33,25761449576.7,22937969456.4
2022-08-29,'000729,Ñà¾©Æ¡¾Æ,8.93,9.14,8.62,8.8,8.93,0.0,0.0,1.6135,40493434,360248624.64,25169556315.1,22410948276.3
2022-08-26,'000729,Ñà¾©Æ¡¾Æ,8.93,9.25,8.55,8.6,8.5,0.43,5.0588,2.3453,58858341,527548254.3,25169556315.1,22410948276.3
2022-08-25,'000729,Ñà¾©Æ¡¾Æ,8.5,8.59,8.38,8.43,8.43,0.07,0.8304,0.636,15961365,135294902.67,23957584398.5,21331809669.5
2022-08-24,'000729,Ñà¾©Æ¡¾Æ,8.43,8.73,8.4,8.66,8.66,-0.23,-2.6559,0.8049,20199439,171862563.38,23760286644.6,21156135942.8
