ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2022-11-10,'600600,ÇàµºÆ¡¾Æ,98.35,99.28,96.18,96.85,96.8,1.55,1.6012,0.6233,4364935,427312555.0,1.34184293892e+11,68871853975.8
2022-11-09,'600600,ÇàµºÆ¡¾Æ,96.8,99.5,96.57,98.53,99.07,-2.27,-2.2913,0.5911,4139286,403008208.0,1.32069543962e+11,67786430756.0
2022-11-08,'600600,ÇàµºÆ¡¾Æ,99.07,101.81,98.0,99.6,100.01,-0.94,-0.9399,0.588,4117537,408498033.0,1.35166629343e+11,69376050568.1
2022-11-07,'600600,ÇàµºÆ¡¾Æ,100.01,101.0,97.41,98.67,99.2,0.81,0.8165,0.96,6722838,669298293.0,1.36449122848e+11,70034307230.4
2022-11-04,'600600,ÇàµºÆ¡¾Æ,99.2,101.2,91.66,92.11,92.11,7.09,7.6973,1.4887,10425227,1018162804.0,1.35343995466e+11,69467086064.0
2022-11-03,'600600,ÇàµºÆ¡¾Æ,92.11,92.75,90.7,92.08,93.41,-1.3,-1.3917,0.7896,5529066,507941884.0,1.25670719983e+11,64502150174.9
2022-11-02,'600600,ÇàµºÆ¡¾Æ,93.41,95.38,86.97,87.55,87.83,5.58,6.3532,1.7366,12160638,1117731387.0,1.27444381214e+11,65412505133.4
2022-11-01,'600600,ÇàµºÆ¡¾Æ,87.83,87.84,82.03,82.03,81.8,6.03,7.3716,1.5229,10664114,915330289.0,1.19831281469e+11,61504981542.3
2022-10-31,'600600,ÇàµºÆ¡¾Æ,81.8,84.03,80.88,84.03,84.4,-2.6,-3.0806,1.3758,9634623,788180053.0,1.11604222067e+11,57282335081.0
2022-10-28,'600600,ÇàµºÆ¡¾Æ,84.4,86.76,83.73,86.0,86.5,-2.1,-2.4277,1.1092,7767599,660516575.0,1.15151544529e+11,59103044998.0
2022-10-27,'600600,ÇàµºÆ¡¾Æ,86.5,92.8,86.0,92.8,94.79,-8.29,-8.7456,1.8842,13194279,1161755575.0,1.18016689594e+11,60573618392.5
2022-10-26,'600600,ÇàµºÆ¡¾Æ,94.79,96.0,92.7,94.09,93.3,1.49,1.597,0.729,5104691,484371560.0,1.29327190828e+11,66378881935.6
2022-10-25,'600600,ÇàµºÆ¡¾Æ,93.3,93.88,90.38,91.01,92.4,0.9,0.974,0.6531,4573495,424207132.0,1.27294302187e+11,65335475098.5
2022-10-24,'600600,ÇàµºÆ¡¾Æ,92.4,96.36,92.2,96.36,96.67,-4.27,-4.4171,0.6392,4475932,418562615.0,1.26066382873e+11,64705229358.0
2022-10-21,'600600,ÇàµºÆ¡¾Æ,96.67,97.3,94.7,96.98,96.96,-0.29,-0.2991,0.6011,4209033,404148830.0,1.31892177839e+11,67695395260.2
2022-10-20,'600600,ÇàµºÆ¡¾Æ,96.96,99.0,95.28,97.4,97.38,-0.42,-0.4313,0.6339,4438705,429413583.0,1.32287840729e+11,67898474443.2
2022-10-19,'600600,ÇàµºÆ¡¾Æ,97.38,99.7,96.67,99.7,99.44,-2.06,-2.0716,0.8575,6004569,585456021.0,1.32860869742e+11,68192589122.1
2022-10-18,'600600,ÇàµºÆ¡¾Æ,99.44,102.48,98.9,101.56,101.2,-1.76,-1.7391,0.6696,4688994,469466441.0,1.35671440616e+11,69635151594.8
2022-10-17,'600600,ÇàµºÆ¡¾Æ,101.2,103.29,100.3,102.5,103.26,-2.06,-1.995,0.5646,3953506,399907086.0,1.38072705052e+11,70867632154.0
2022-10-14,'600600,ÇàµºÆ¡¾Æ,103.26,104.44,100.4,101.05,100.52,2.74,2.7258,0.7002,4903283,506337535.0,1.40883275925e+11,72310194626.7
2022-10-13,'600600,ÇàµºÆ¡¾Æ,100.52,103.76,100.0,103.76,103.77,-3.25,-3.1319,0.6752,4727985,477852345.0,1.37144943792e+11,70391446483.4
2022-10-12,'600600,ÇàµºÆ¡¾Æ,103.77,104.5,100.3,104.0,104.06,-0.29,-0.2787,0.7377,5165617,526539543.0,1.4157909687e+11,72667333879.6
2022-10-11,'600600,ÇàµºÆ¡¾Æ,104.06,104.98,101.89,102.56,102.46,1.6,1.5616,0.5902,4133202,428823374.0,1.4197475976e+11,72870413062.7
2022-10-10,'600600,ÇàµºÆ¡¾Æ,102.46,106.0,102.0,106.0,106.2,-3.74,-3.5217,0.8435,5906760,612836619.0,1.39791792091e+11,71749976190.7
2022-09-30,'600600,ÇàµºÆ¡¾Æ,106.2,108.3,105.25,105.56,105.25,0.95,0.9026,0.762,5336277,568027932.0,1.44894479017e+11,74368997379.0
2022-09-29,'600600,ÇàµºÆ¡¾Æ,105.25,107.97,104.21,106.97,106.08,-0.83,-0.7824,0.7045,4933346,520543497.0,1.43598341963e+11,73703737986.2
2022-09-28,'600600,ÇàµºÆ¡¾Æ,106.08,107.8,105.4,106.22,106.95,-0.87,-0.8135,0.5628,3940863,419569705.0,1.44730756441e+11,74284964613.6
2022-09-27,'600600,ÇàµºÆ¡¾Æ,106.95,107.04,102.22,104.14,103.85,3.1,2.9851,0.9664,6767430,711708250.0,1.45917745111e+11,74894202162.8
2022-09-26,'600600,ÇàµºÆ¡¾Æ,103.85,105.5,101.0,101.0,102.3,1.55,1.5152,0.7015,4912261,511521719.0,1.41688245253e+11,72723355723.2
2022-09-23,'600600,ÇàµºÆ¡¾Æ,102.3,103.78,100.08,100.37,99.94,2.36,2.3614,0.8481,5939175,605491795.0,1.39573495324e+11,71637932503.5
2022-09-22,'600600,ÇàµºÆ¡¾Æ,99.94,101.44,98.63,101.44,101.88,-1.94,-1.9042,0.661,4628998,461881975.0,1.36353618012e+11,69985288117.3
2022-09-21,'600600,ÇàµºÆ¡¾Æ,101.88,103.92,101.16,102.06,102.4,-0.52,-0.5078,0.5408,3787298,387694056.0,1.39000466311e+11,71343817824.6
2022-09-20,'600600,ÇàµºÆ¡¾Æ,102.4,103.2,100.13,102.39,101.9,0.5,0.4907,0.4379,3066330,312055750.0,1.39709930803e+11,71707959808.0
2022-09-19,'600600,ÇàµºÆ¡¾Æ,101.9,102.5,98.5,101.57,101.12,0.78,0.7714,0.8051,5637806,571902740.0,1.39027753407e+11,71357823285.5
2022-09-16,'600600,ÇàµºÆ¡¾Æ,101.12,104.0,100.25,101.58,102.29,-1.17,-1.1438,0.6239,4368757,444426411.0,1.37963556668e+11,70811610310.4
2022-09-15,'600600,ÇàµºÆ¡¾Æ,102.29,104.55,99.79,99.79,100.25,2.04,2.0349,0.8241,5771272,592374453.0,1.39559851776e+11,71630929773.1
2022-09-14,'600600,ÇàµºÆ¡¾Æ,100.25,101.0,98.3,98.52,100.05,0.2,0.1999,0.5831,4083546,407879836.0,1.36776567998e+11,70202372761.2
2022-09-13,'600600,ÇàµºÆ¡¾Æ,100.05,101.15,96.85,97.27,96.67,3.38,3.4964,1.0815,7573559,753519105.0,1.3650369704e+11,70062318152.2
2022-09-09,'600600,ÇàµºÆ¡¾Æ,96.67,97.53,96.0,97.22,97.2,-0.53,-0.5453,0.6398,4480626,433555231.0,1.31892177839e+11,67695395260.2
2022-09-08,'600600,ÇàµºÆ¡¾Æ,97.2,98.87,97.0,97.99,97.29,-0.09,-0.0925,0.6022,4216761,411477791.0,1.3261528588e+11,68066539974.0
2022-09-07,'600600,ÇàµºÆ¡¾Æ,97.29,98.6,96.82,98.51,98.67,-1.38,-1.3986,0.6826,4779950,465465475.0,1.32738077811e+11,68129564548.1
2022-09-06,'600600,ÇàµºÆ¡¾Æ,98.67,100.33,96.89,99.09,99.0,-0.33,-0.3333,0.8043,5632275,552975410.0,1.34620887425e+11,69095941350.1
2022-09-05,'600600,ÇàµºÆ¡¾Æ,99.0,101.8,97.0,101.8,102.0,-3.0,-2.9412,1.1379,7968259,785745762.0,1.35071124507e+11,69327031455.0
2022-09-02,'600600,ÇàµºÆ¡¾Æ,102.0,106.5,101.05,105.7,105.97,-3.97,-3.7463,0.9797,6860480,705449486.0,1.39164188886e+11,71427850590.0
2022-09-01,'600600,ÇàµºÆ¡¾Æ,105.97,107.99,105.6,107.35,108.0,-2.03,-1.8796,0.6628,4641432,494734648.0,1.44580677414e+11,74207934578.6
2022-08-31,'600600,ÇàµºÆ¡¾Æ,108.0,109.65,107.33,107.69,108.48,-0.48,-0.4425,0.5903,4133416,448735348.0,1.47350317644e+11,75629488860.0
2022-08-30,'600600,ÇàµºÆ¡¾Æ,108.48,110.32,107.0,108.39,108.5,-0.02,-0.0184,0.747,5231097,566640223.0,1.48005207945e+11,75965619921.6
2022-08-29,'600600,ÇàµºÆ¡¾Æ,108.5,109.5,105.43,107.96,108.0,0.5,0.463,0.955,6687955,719472598.0,1.4803249504e+11,75979625382.5
2022-08-26,'600600,ÇàµºÆ¡¾Æ,108.0,110.2,104.0,104.0,100.52,7.48,7.4413,2.068,14481965,1556687503.0,1.47350317644e+11,75629488860.0
2022-08-25,'600600,ÇàµºÆ¡¾Æ,100.52,102.0,98.98,99.0,98.97,1.55,1.5661,0.5357,3751488,376888570.0,1.37144943792e+11,70391446483.4
2022-08-24,'600600,ÇàµºÆ¡¾Æ,98.97,100.49,98.5,100.13,100.57,-1.6,-1.5909,0.5166,3617746,359329480.0,1.35030193863e+11,69306023263.6
2022-08-23,'600600,ÇàµºÆ¡¾Æ,100.57,102.79,99.99,102.19,102.97,-2.4,-2.3308,0.7114,4981921,502102043.0,1.37213161532e+11,70426460135.6
2022-08-22,'600600,ÇàµºÆ¡¾Æ,102.97,104.47,101.8,103.36,103.52,-0.55,-0.5313,0.4067,2848300,293711908.0,1.40487613035e+11,72107115443.6
2022-08-19,'600600,ÇàµºÆ¡¾Æ,103.52,106.6,103.1,104.96,104.97,-1.45,-1.3813,0.3767,2638184,275250826.0,1.41238008171e+11,72492265618.4
2022-08-18,'600600,ÇàµºÆ¡¾Æ,104.97,106.6,103.72,104.44,104.72,0.25,0.2387,0.6998,4900450,516108473.0,1.43216322621e+11,73507661533.6
2022-08-17,'600600,ÇàµºÆ¡¾Æ,104.72,106.0,100.2,102.5,102.96,1.76,1.7094,0.7115,4982503,517077447.0,1.42875233923e+11,73332593272.4
2022-08-16,'600600,ÇàµºÆ¡¾Æ,102.96,104.0,101.88,103.67,103.66,-0.7,-0.6753,0.4567,3198302,328686566.0,1.40473969487e+11,72100112713.2
2022-08-15,'600600,ÇàµºÆ¡¾Æ,103.66,105.13,103.0,103.66,104.5,-0.84,-0.8038,0.3963,2775499,287850325.0,1.41429017842e+11,72590303844.7
2022-08-12,'600600,ÇàµºÆ¡¾Æ,104.5,106.88,103.67,105.99,106.48,-1.98,-1.8595,0.4274,2993242,312710781.0,1.42575075868e+11,73178533202.5
2022-08-11,'600600,ÇàµºÆ¡¾Æ,106.48,106.96,102.77,105.1,105.04,1.44,1.3709,0.6112,4280106,449922530.0,1.45276498359e+11,74565073831.6
2022-08-10,'600600,ÇàµºÆ¡¾Æ,105.04,109.3,103.53,109.3,109.5,-4.46,-4.0731,0.991,6939572,732630496.0,1.43311827457e+11,73556680646.8
2022-08-09,'600600,ÇàµºÆ¡¾Æ,109.5,110.0,103.12,104.02,103.99,5.51,5.2986,0.9519,6666168,712374162.0,1.49396849834e+11,76679898427.5
2022-08-08,'600600,ÇàµºÆ¡¾Æ,103.99,105.85,100.12,101.02,103.04,0.95,0.922,0.9272,6492645,674306501.0,1.41879254924e+11,72821393949.6
2022-08-05,'600600,ÇàµºÆ¡¾Æ,103.04,105.18,102.8,103.5,103.58,-0.54,-0.5213,0.6294,4407684,456740285.0,1.40583117871e+11,72156134556.8
2022-08-04,'600600,ÇàµºÆ¡¾Æ,103.58,104.13,101.76,103.88,102.97,0.61,0.5924,0.6208,4347621,447457091.0,1.41319869459e+11,72534282001.1
2022-08-03,'600600,ÇàµºÆ¡¾Æ,102.97,106.99,102.5,106.18,106.28,-3.31,-3.1144,0.7782,5449307,567777010.0,1.40487613035e+11,72107115443.6
2022-08-02,'600600,ÇàµºÆ¡¾Æ,106.28,108.92,105.8,107.43,108.06,-1.78,-1.6472,1.0345,7244319,776067702.0,1.450036274e+11,74425019222.6
2022-08-01,'600600,ÇàµºÆ¡¾Æ,108.06,108.36,99.25,100.0,98.51,9.55,9.6944,2.2429,15706285,1674145982.0,1.47432178932e+11,75671505242.7
2022-07-29,'600600,ÇàµºÆ¡¾Æ,98.51,100.48,98.02,100.09,100.48,-1.97,-1.9606,1.0122,7087947,701333994.0,1.34402590658e+11,68983897662.9
2022-07-28,'600600,ÇàµºÆ¡¾Æ,100.48,102.99,98.66,100.1,100.0,0.48,0.48,0.683,4782936,483630368.0,1.37090369601e+11,70363435561.6
2022-07-27,'600600,ÇàµºÆ¡¾Æ,100.0,103.87,99.9,101.52,100.49,-0.49,-0.4876,0.6024,4218233,426971484.0,1.364354793e+11,70027304500.0
2022-07-26,'600600,ÇàµºÆ¡¾Æ,100.49,102.5,99.52,99.97,100.19,0.3,0.2994,0.6652,4657965,469445972.0,1.37104013149e+11,70370438292.1
2022-07-25,'600600,ÇàµºÆ¡¾Æ,100.19,101.0,94.0,95.3,96.21,3.98,4.1368,1.1823,8279054,819050501.0,1.36694706711e+11,70160356378.6
2022-07-22,'600600,ÇàµºÆ¡¾Æ,96.21,97.49,95.7,97.01,97.01,-0.8,-0.8247,0.5173,3599721,346988215.0,1.31264574635e+11,66953849091.6
2022-07-21,'600600,ÇàµºÆ¡¾Æ,97.01,97.76,94.5,94.5,95.56,1.45,1.5174,0.869,6047531,586249376.0,1.32356058469e+11,67510579985.2
2022-07-20,'600600,ÇàµºÆ¡¾Æ,95.56,97.2,94.58,95.2,95.11,0.45,0.4731,0.6161,4287280,411138817.0,1.30377744019e+11,66501505240.5
2022-07-19,'600600,XDÇàµºÆ¡,95.11,95.98,93.26,94.71,95.22,-0.11,-0.1155,0.6338,4410948,416518505.0,1.29763784362e+11,66188344112.9
2022-07-18,'600600,ÇàµºÆ¡¾Æ,96.32,97.5,92.66,96.84,96.84,-0.52,-0.537,0.9491,6604781,629404594.0,1.31414653662e+11,67030399589.4
2022-07-15,'600600,ÇàµºÆ¡¾Æ,96.84,99.98,95.4,95.85,96.0,0.84,0.875,0.8089,5629272,552926516.0,1.32124118154e+11,67392274670.3
2022-07-14,'600600,ÇàµºÆ¡¾Æ,96.0,96.82,94.4,96.42,96.89,-0.89,-0.9186,0.7376,5133153,491721313.0,1.30978060128e+11,66807707232.0
2022-07-13,'600600,ÇàµºÆ¡¾Æ,96.89,98.88,95.8,95.98,95.67,1.22,1.2752,0.8306,5780368,562653069.0,1.32192335894e+11,67427070351.1
2022-07-12,'600600,ÇàµºÆ¡¾Æ,95.67,97.25,95.11,96.5,96.69,-1.02,-1.0549,0.3993,2779060,266723465.0,1.30527823046e+11,66578055738.4
2022-07-11,'600600,ÇàµºÆ¡¾Æ,96.69,98.0,95.61,97.0,98.72,-2.03,-2.0563,0.6261,4357324,419821154.0,1.31919464935e+11,67287887627.7
2022-07-08,'600600,ÇàµºÆ¡¾Æ,98.72,99.86,98.0,98.92,98.93,-0.21,-0.2123,0.4528,3151035,311439015.0,1.34689105165e+11,68700592270.2
2022-07-07,'600600,ÇàµºÆ¡¾Æ,98.93,99.8,95.04,98.0,98.18,0.75,0.7639,0.8752,6090591,594177488.0,1.34975619671e+11,68846734129.8
2022-07-06,'600600,ÇàµºÆ¡¾Æ,98.18,101.2,97.0,100.68,101.52,-3.34,-3.29,1.0479,7292147,719158922.0,1.33952353577e+11,68324798917.1
2022-07-05,'600600,ÇàµºÆ¡¾Æ,101.52,104.49,99.0,104.17,104.17,-2.65,-2.5439,1.0034,6982890,704275193.0,1.38509298585e+11,70649150397.8
2022-07-04,'600600,ÇàµºÆ¡¾Æ,104.17,104.88,101.35,101.58,102.58,1.59,1.55,0.6873,4783159,496259477.0,1.42124838787e+11,72493321482.9
2022-07-01,'600600,ÇàµºÆ¡¾Æ,102.58,104.49,101.0,103.38,103.92,-1.34,-1.2895,0.6442,4483004,459807025.0,1.39955514666e+11,71386818831.9
2022-06-30,'600600,ÇàµºÆ¡¾Æ,103.92,107.37,103.0,103.0,102.29,1.63,1.5935,1.29,8977393,941861003.0,1.41783750089e+11,72319343078.6
2022-06-29,'600600,ÇàµºÆ¡¾Æ,102.29,103.98,99.7,99.88,100.0,2.29,2.29,1.2901,8978008,916879976.0,1.39559851776e+11,71185003882.9
2022-06-28,'600600,ÇàµºÆ¡¾Æ,100.0,101.06,97.0,98.8,99.65,0.35,0.3512,0.8687,6045206,597073698.0,1.364354793e+11,69591361700.0
2022-06-27,'600600,ÇàµºÆ¡¾Æ,99.65,101.9,97.0,97.0,95.59,4.06,4.2473,1.4667,10207043,1016757854.0,1.35957955122e+11,69347791934.1
2022-06-24,'600600,ÇàµºÆ¡¾Æ,95.59,97.0,93.0,93.3,93.27,2.32,2.4874,1.0735,7470383,707381385.0,1.30418674663e+11,66522382649.0
2022-06-23,'600600,ÇàµºÆ¡¾Æ,93.27,93.5,92.26,92.87,92.87,0.4,0.4307,0.6732,4685044,435749860.0,1.27253371543e+11,64907863057.6
2022-06-22,'600600,ÇàµºÆ¡¾Æ,92.87,94.9,92.83,93.8,93.8,-0.93,-0.9915,0.6184,4303411,402484433.0,1.26707629626e+11,64629497610.8
2022-06-21,'600600,ÇàµºÆ¡¾Æ,93.8,95.21,92.38,94.0,93.98,-0.18,-0.1915,0.8327,5795046,543839979.0,1.27976479583e+11,65276697274.6
2022-06-20,'600600,ÇàµºÆ¡¾Æ,93.98,95.0,92.14,92.14,91.56,2.42,2.6431,1.2209,8496334,796222719.0,1.28222063446e+11,65401961725.7
2022-06-17,'600600,ÇàµºÆ¡¾Æ,91.56,91.95,89.07,89.19,90.15,1.41,1.5641,0.9438,6568122,598605775.0,1.24920324847e+11,63717850772.5
2022-06-16,'600600,ÇàµºÆ¡¾Æ,90.15,92.65,89.01,91.6,91.54,-1.39,-1.5185,1.0558,7347602,665215139.0,1.22996584589e+11,62736612572.6
2022-06-15,'600600,ÇàµºÆ¡¾Æ,91.54,92.88,90.41,91.82,91.95,-0.41,-0.4459,1.1501,8003450,733729459.0,1.24893037751e+11,63703932500.2
2022-06-14,'600600,ÇàµºÆ¡¾Æ,91.95,93.0,88.88,89.0,90.55,1.4,1.5461,0.9284,6461031,589919536.0,1.25452423216e+11,63989257083.2
2022-06-13,'600600,ÇàµºÆ¡¾Æ,90.55,91.5,88.31,91.0,92.1,-1.55,-1.683,1.2245,8521560,764475584.0,1.23542326506e+11,63014978019.3
2022-06-10,'600600,ÇàµºÆ¡¾Æ,92.1,92.1,90.03,91.5,92.0,0.1,0.1087,0.7439,5176928,472773011.0,1.25657076435e+11,64093644125.7
2022-06-09,'600600,ÇàµºÆ¡¾Æ,92.0,94.5,91.46,94.0,94.46,-2.46,-2.6043,0.7257,5050274,467761349.0,1.25520640956e+11,64024052764.0
2022-06-08,'600600,ÇàµºÆ¡¾Æ,94.46,95.8,92.06,92.5,93.06,1.4,1.5044,1.0329,7188317,676382314.0,1.28876953747e+11,65736000261.8
2022-06-07,'600600,ÇàµºÆ¡¾Æ,93.06,94.5,91.23,92.9,93.0,0.06,0.0645,0.9259,6443620,599018575.0,1.26966857037e+11,64761721198.0
2022-06-06,'600600,ÇàµºÆ¡¾Æ,93.0,93.65,88.77,90.55,89.95,3.05,3.3908,1.1139,7751811,713891808.0,1.26884995749e+11,64719966381.0
2022-06-02,'600600,ÇàµºÆ¡¾Æ,89.95,91.3,89.49,90.12,91.62,-1.67,-1.8227,0.799,5560207,501422180.0,1.2272371363e+11,62597429849.2
2022-06-01,'600600,ÇàµºÆ¡¾Æ,91.62,93.3,90.86,91.9,92.75,-1.13,-1.2183,0.9947,6922160,634534506.0,1.25002186135e+11,63759605589.5
2022-05-31,'600600,ÇàµºÆ¡¾Æ,92.75,93.5,90.37,91.0,90.9,1.85,2.0352,1.5743,10955621,1014980271.0,1.26543907051e+11,64545987976.8
2022-05-30,'600600,ÇàµºÆ¡¾Æ,90.9,93.7,88.6,88.6,85.18,5.72,6.7152,2.3031,16027256,1470394922.0,1.24019850684e+11,63258547785.3
2022-05-27,'600600,ÇàµºÆ¡¾Æ,85.18,87.1,84.7,86.38,86.02,-0.84,-0.9765,0.7324,5097054,438268381.0,1.16215741268e+11,59277921896.1
2022-05-26,'600600,ÇàµºÆ¡¾Æ,86.02,87.1,83.38,84.6,84.03,1.99,2.3682,1.0757,7485618,640186837.0,1.17361799294e+11,59862489334.3
2022-05-25,'600600,ÇàµºÆ¡¾Æ,84.03,84.74,83.6,83.86,84.04,-0.01,-0.0119,0.5913,4115154,345495300.0,1.14646733256e+11,58477621236.5
2022-05-24,'600600,ÇàµºÆ¡¾Æ,84.04,85.72,83.81,85.4,85.37,-1.33,-1.5579,0.6046,4207746,355569228.0,1.14660376804e+11,58484580372.7
2022-05-23,'600600,ÇàµºÆ¡¾Æ,85.37,86.24,84.39,86.22,85.97,-0.6,-0.6979,0.7155,4979545,424636022.0,1.16474968678e+11,59410145483.3
2022-05-20,'600600,ÇàµºÆ¡¾Æ,85.97,86.89,83.96,84.46,83.9,2.07,2.4672,0.9812,6828209,587493472.0,1.17293581554e+11,59827693653.5
2022-05-19,'600600,ÇàµºÆ¡¾Æ,83.9,85.36,83.0,83.4,84.85,-0.95,-1.1196,0.5319,3701814,310530833.0,1.14469367133e+11,58387152466.3
2022-05-18,'600600,ÇàµºÆ¡¾Æ,84.85,86.18,84.5,85.99,85.99,-1.14,-1.3257,0.5805,4040019,343456020.0,1.15765504186e+11,59048270402.4
2022-05-17,'600600,ÇàµºÆ¡¾Æ,85.99,86.5,85.03,85.97,85.76,0.23,0.2682,0.4804,3343490,287206140.0,1.1732086865e+11,59841611925.8
2022-05-16,'600600,ÇàµºÆ¡¾Æ,85.76,88.5,84.5,86.3,85.11,0.65,0.7637,0.8957,6233111,538359243.0,1.17007067048e+11,59681551793.9
2022-05-13,'600600,ÇàµºÆ¡¾Æ,85.11,86.5,84.6,85.59,85.6,-0.49,-0.5724,0.5109,3555191,302728483.0,1.16120236432e+11,59229207942.9
2022-05-12,'600600,ÇàµºÆ¡¾Æ,85.6,87.11,84.1,84.1,84.9,0.7,0.8245,0.8173,5687491,488633737.0,1.16788770281e+11,59570205615.2
2022-05-11,'600600,ÇàµºÆ¡¾Æ,84.9,86.92,82.43,82.44,82.43,2.47,2.9965,1.5852,11031328,944747328.0,1.15833721926e+11,59083066083.3
2022-05-10,'600600,ÇàµºÆ¡¾Æ,82.43,82.85,77.5,78.0,79.7,2.73,3.4253,1.0964,7630177,616261540.0,1.12463765587e+11,57364159449.3
2022-05-09,'600600,ÇàµºÆ¡¾Æ,79.7,80.85,76.6,78.68,81.0,-1.3,-1.6049,0.8064,5611740,444524556.0,1.08739077002e+11,55464315274.9
2022-05-06,'600600,ÇàµºÆ¡¾Æ,81.0,84.6,80.5,84.6,86.24,-5.24,-6.0761,1.4271,9931112,811701177.0,1.10512738233e+11,56369002977.0
2022-05-05,'600600,ÇàµºÆ¡¾Æ,86.24,87.86,85.28,87.0,86.3,-0.06,-0.0695,1.1212,7802448,674062525.0,1.17661957348e+11,60015590330.1
2022-04-29,'600600,ÇàµºÆ¡¾Æ,86.3,87.5,83.48,83.48,82.9,3.4,4.1013,1.9469,13548995,1165322794.0,1.17743818636e+11,60057345147.1
2022-04-28,'600600,ÇàµºÆ¡¾Æ,82.9,85.15,82.21,82.5,83.69,-0.79,-0.944,0.8945,6224969,518840719.0,1.1310501234e+11,57691238849.3
