日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2022-11-10,'000568,泸州老窖,177.32,177.88,173.53,174.09,175.5,1.82,1.037,0.5489,8039611,1416015061.97,2.61007487941e+11,2.59729909044e+11
2022-11-09,'000568,泸州老窖,175.5,182.3,174.65,178.97,178.99,-3.49,-1.9498,0.5734,8399367,1482165497.11,2.58328525455e+11,2.57064059538e+11
2022-11-08,'000568,泸州老窖,178.99,184.63,176.6,182.3,182.88,-3.89,-2.1271,0.8678,12711606,2277452318.14,2.63465656816e+11,2.62176045679e+11
2022-11-07,'000568,泸州老窖,182.88,184.5,179.57,182.0,183.76,-0.88,-0.4789,0.7865,11519734,2096080111.38,2.69191571141e+11,2.67873932811e+11
2022-11-04,'000568,泸州老窖,183.76,187.49,172.0,172.3,172.7,11.06,6.4042,1.2114,17743900,3245553349.72,2.70486893662e+11,2.6916291499e+11
2022-11-03,'000568,泸州老窖,172.7,173.83,170.05,171.05,174.93,-2.23,-1.2748,0.6038,8844119,1520665757.14,2.54207044707e+11,2.52962752605e+11
2022-11-02,'000568,泸州老窖,174.93,179.5,168.0,169.67,170.0,4.93,2.9,1.4898,21822499,3805151749.41,2.57489509731e+11,2.56229150627e+11
2022-11-01,'000568,泸州老窖,170.0,170.9,156.6,156.77,156.35,13.65,8.7304,1.678,24578413,4059430597.84,2.502327597e+11,2.4900792092e+11
2022-10-31,'000568,泸州老窖,156.35,160.85,155.18,158.51,160.34,-3.99,-2.4885,0.8692,12732302,2002278772.2,2.30140541054e+11,2.29014049623e+11
2022-10-28,'000568,泸州老窖,160.34,164.48,158.0,159.32,159.3,1.04,0.6529,1.3938,20415335,3291542149.16,2.36013651119e+11,2.34858412002e+11
2022-10-27,'000568,泸州老窖,159.3,175.96,158.0,174.63,173.95,-14.65,-8.422,2.0307,29744138,4888396070.03,2.34482815413e+11,2.33335069427e+11
2022-10-26,'000568,泸州老窖,173.95,178.25,173.0,177.02,175.98,-2.03,-1.1535,0.9063,13275624,2328419647.38,2.5604699147e+11,2.547936932e+11
2022-10-25,'000568,泸州老窖,175.98,179.83,173.57,174.01,178.0,-2.02,-1.1348,1.0963,16058430,2833821989.97,2.59035065012e+11,2.57767140726e+11
2022-10-24,'000568,泸州老窖,178.0,187.88,176.66,187.55,191.97,-13.97,-7.2772,1.3247,19402927,3494812214.17,2.6200841898e+11,2.60725940728e+11
2022-10-21,'000568,泸州老窖,191.97,196.89,190.21,195.1,197.02,-5.05,-2.5632,0.5806,8503696,1638070494.96,2.82571663998e+11,2.81188532818e+11
2022-10-20,'000568,泸州老窖,197.02,199.28,190.02,193.1,196.62,0.4,0.2034,0.6337,9282699,1819487856.73,2.90005048918e+11,2.88585532822e+11
2022-10-19,'000568,泸州老窖,196.62,206.8,194.5,205.99,207.9,-11.28,-5.4257,1.0865,15914429,3153167292.03,2.89416265954e+11,2.87999631831e+11
2022-10-18,'000568,泸州老窖,207.9,212.02,206.5,208.1,207.87,0.03,0.0144,0.3842,5627007,1173561575.96,3.06019945539e+11,3.0452203976e+11
2022-10-17,'000568,泸州老窖,207.87,212.9,205.3,212.1,212.22,-4.35,-2.0498,0.6096,8928716,1853813731.38,3.05975786817e+11,3.04478097186e+11
2022-10-14,'000568,泸州老窖,212.22,214.0,208.64,211.57,209.91,2.31,1.1005,0.5381,7881137,1670868797.7,3.1237880155e+11,3.10849770457e+11
2022-10-13,'000568,泸州老窖,209.91,214.5,208.56,212.29,213.1,-3.19,-1.4969,0.41,6005697,1267488734.72,3.08978579933e+11,3.07466192237e+11
2022-10-12,'000568,泸州老窖,213.1,215.53,207.38,215.53,216.35,-3.25,-1.5022,0.4721,6915158,1457878420.56,3.13674124071e+11,3.12138752636e+11
2022-10-11,'000568,泸州老窖,216.35,217.66,207.2,210.17,210.31,6.04,2.872,0.544,7967818,1704316836.98,3.18457985654e+11,3.16899198183e+11
2022-10-10,'000568,泸州老窖,210.31,230.0,209.98,229.05,230.66,-20.35,-8.8225,0.9663,14153833,3085206413.5,3.09567362897e+11,3.08052093228e+11
2022-09-30,'000568,泸州老窖,230.66,235.3,229.83,233.31,231.0,-0.34,-0.1472,0.3614,5293590,1229039465.49,3.39521696191e+11,3.37859806114e+11
2022-09-29,'000568,泸州老窖,231.0,234.65,229.31,234.0,231.26,-0.26,-0.1124,0.3119,4568522,1057517589.97,3.4002216171e+11,3.38357821956e+11
2022-09-28,'000568,泸州老窖,231.26,236.78,230.96,231.3,232.25,-0.99,-0.4263,0.54,7910136,1848249966.43,3.40404870637e+11,3.387386576e+11
2022-09-27,'000568,泸州老窖,232.25,233.5,224.23,228.14,227.12,5.13,2.2587,0.5875,8605361,1980144846.02,3.41782601401e+11,3.40188762551e+11
2022-09-26,'000568,泸州老窖,227.12,230.5,218.5,218.55,220.87,6.25,2.8297,0.5824,8530322,1934764914.93,3.34233216061e+11,3.32674582349e+11
