»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø,≥…ΩªΩ∂Ó,◊‹ –÷µ,¡˜Õ® –÷µ
2022-11-10,'002461,÷ÈΩ≠∆°æ∆,7.54,7.56,7.32,7.42,7.47,0.07,0.9371,0.3966,8779140,65350670.16,16688496739.2,16688496739.2
2022-11-09,'002461,÷ÈΩ≠∆°æ∆,7.47,7.59,7.45,7.54,7.53,-0.06,-0.7968,0.3138,6946000,52068256.0,16533563745.6,16533563745.6
2022-11-08,'002461,÷ÈΩ≠∆°æ∆,7.53,7.77,7.48,7.62,7.67,-0.14,-1.8253,0.6258,13850425,105406683.7,16666363454.4,16666363454.4
2022-11-07,'002461,÷ÈΩ≠∆°æ∆,7.67,7.68,7.35,7.4,7.43,0.24,3.2301,0.735,16268486,123351974.72,16976229441.6,16976229441.6
2022-11-04,'002461,÷ÈΩ≠∆°æ∆,7.43,7.45,7.04,7.07,7.04,0.39,5.5398,0.8327,18429992,134678332.03,16445030606.4,16445030606.4
2022-11-03,'002461,÷ÈΩ≠∆°æ∆,7.04,7.06,6.93,6.96,6.98,0.06,0.8596,0.3706,8202060,57443114.97,15581832499.2,15581832499.2
2022-11-02,'002461,÷ÈΩ≠∆°æ∆,6.98,7.07,6.68,6.7,6.72,0.26,3.869,0.574,12704316,87783677.93,15449032790.4,15449032790.4
2022-11-01,'002461,÷ÈΩ≠∆°æ∆,6.72,6.72,6.47,6.49,6.47,0.25,3.864,0.3206,7095546,46917036.64,14873567385.6,14873567385.6
2022-10-31,'002461,÷ÈΩ≠∆°æ∆,6.47,6.58,6.4,6.56,6.58,-0.11,-1.6717,0.2366,5236600,33953833.0,14320235265.6,14320235265.6
2022-10-28,'002461,÷ÈΩ≠∆°æ∆,6.58,6.77,6.56,6.77,6.76,-0.18,-2.6627,0.2042,4519300,30053143.18,14563701398.4,14563701398.4
2022-10-27,'002461,÷ÈΩ≠∆°æ∆,6.76,6.85,6.74,6.81,6.8,-0.04,-0.5882,0.22,4869400,32994037.32,14962100524.8,14962100524.8
2022-10-26,'002461,÷ÈΩ≠∆°æ∆,6.8,6.89,6.7,6.71,6.76,0.04,0.5917,0.2049,4536186,30917194.77,15050633664.0,15050633664.0
2022-10-25,'002461,÷ÈΩ≠∆°æ∆,6.76,6.8,6.67,6.76,6.81,-0.05,-0.7342,0.2277,5040465,33917532.17,14962100524.8,14962100524.8
2022-10-24,'002461,÷ÈΩ≠∆°æ∆,6.81,7.07,6.75,7.01,7.0,-0.19,-2.7143,0.355,7856563,54133015.82,15072766948.8,15072766948.8
2022-10-21,'002461,÷ÈΩ≠∆°æ∆,7.0,7.05,6.96,7.0,7.0,0.0,0.0,0.1959,4336482,30383050.32,15493299360.0,15493299360.0
2022-10-20,'002461,÷ÈΩ≠∆°æ∆,7.0,7.07,6.93,6.98,6.99,0.01,0.1431,0.2685,5943800,41593264.56,15493299360.0,15493299360.0
2022-10-19,'002461,÷ÈΩ≠∆°æ∆,6.99,7.04,6.92,7.01,7.04,-0.05,-0.7102,0.2762,6113125,42620493.02,15471166075.2,15471166075.2
2022-10-18,'002461,÷ÈΩ≠∆°æ∆,7.04,7.14,7.0,7.07,7.06,-0.02,-0.2833,0.2723,6025886,42526971.28,15581832499.2,15581832499.2
2022-10-17,'002461,÷ÈΩ≠∆°æ∆,7.06,7.12,6.98,7.0,7.05,0.01,0.1418,0.4025,8909442,62884116.53,15626099068.8,15626099068.8
2022-10-14,'002461,÷ÈΩ≠∆°æ∆,7.05,7.09,6.87,6.89,6.84,0.21,3.0702,0.4406,9752085,68340560.38,15603965784.0,15603965784.0
2022-10-13,'002461,÷ÈΩ≠∆°æ∆,6.84,6.9,6.75,6.83,6.88,-0.04,-0.5814,0.3151,6973853,47584839.47,15139166803.2,15139166803.2
2022-10-12,'002461,÷ÈΩ≠∆°æ∆,6.88,6.89,6.6,6.89,6.88,0.0,0.0,0.4426,9796304,66080421.45,15227699942.4,15227699942.4
2022-10-11,'002461,÷ÈΩ≠∆°æ∆,6.88,7.35,6.77,7.28,7.29,-0.41,-5.6241,0.6221,13768689,95465095.88,15227699942.4,15227699942.4
