日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2022-11-10,'600809,山西汾酒,258.99,260.27,250.09,250.7,252.72,6.27,2.481,0.4613,5617099,1442353580.0,3.15986815564e+11,3.15375495568e+11
2022-11-09,'600809,山西汾酒,252.72,258.9,250.33,256.5,258.26,-5.54,-2.1451,0.4288,5220950,1321635303.0,3.08336955208e+11,3.0774043492e+11
2022-11-08,'600809,山西汾酒,258.26,266.0,256.0,263.08,264.0,-5.74,-2.1742,0.3974,4839535,1253632172.0,3.15096161966e+11,3.14486565062e+11
2022-11-07,'600809,山西汾酒,264.0,265.5,256.0,256.0,259.83,4.17,1.6049,0.523,6368958,1669043974.0,3.22099383408e+11,3.21476237808e+11
2022-11-04,'600809,山西汾酒,259.83,266.69,246.98,247.0,248.66,11.17,4.4921,0.8132,9902830,2574443375.0,3.17011677238e+11,3.16398374506e+11
2022-11-03,'600809,山西汾酒,248.66,252.4,246.6,252.0,255.91,-7.25,-2.833,0.4717,5744239,1432417929.0,3.03383457115e+11,3.02796520051e+11
2022-11-02,'600809,山西汾酒,255.91,265.0,247.01,250.0,250.98,4.93,1.9643,0.8773,10682687,2740037904.0,3.12228989424e+11,3.1162493946e+11
2022-11-01,'600809,山西汾酒,250.98,251.5,234.87,235.0,232.38,18.6,8.0041,0.9615,11708322,2865023724.0,3.06214027454e+11,3.05621614262e+11
2022-10-31,'600809,山西汾酒,232.38,235.56,227.31,230.8,234.63,-2.25,-0.959,0.438,5333375,1238028899.0,2.83520661804e+11,2.82972152052e+11
2022-10-28,'600809,山西汾酒,234.63,239.33,229.72,232.68,229.7,4.93,2.1463,0.7742,9427613,2214050270.0,2.86265827004e+11,2.85712006352e+11
2022-10-27,'600809,山西汾酒,229.7,245.0,227.89,240.5,240.95,-11.25,-4.669,0.9192,11193530,2621068046.0,2.80250865033e+11,2.79708681153e+11
2022-10-26,'600809,山西汾酒,240.95,250.86,239.77,244.24,244.1,-3.15,-1.2905,0.6799,8279289,2020309166.0,2.93976691031e+11,2.93407952651e+11
2022-10-25,'600809,山西汾酒,244.1,247.77,238.06,239.03,242.84,1.26,0.5189,0.6623,8065409,1964153321.0,2.9781992231e+11,2.9724374867e+11
2022-10-24,'600809,山西汾酒,242.84,260.0,240.71,259.0,266.5,-23.66,-8.878,1.0799,13150093,3268183884.0,2.96282629798e+11,2.95709430262e+11
2022-10-21,'600809,山西汾酒,266.5,269.0,262.57,267.21,269.69,-3.19,-1.1828,0.3747,4562952,1212867331.0,3.25149566963e+11,3.24520520363e+11
2022-10-20,'600809,山西汾酒,269.69,270.9,256.02,258.99,262.6,7.09,2.6999,0.5884,7165022,1907010134.0,3.29041601179e+11,3.28405024903e+11
2022-10-19,'600809,山西汾酒,262.6,269.89,260.0,268.05,270.5,-7.9,-2.9205,0.7006,8531287,2241118741.0,3.20391280617e+11,3.19771439577e+11
2022-10-18,'600809,山西汾酒,270.5,274.55,267.61,271.6,271.58,-1.08,-0.3977,0.3228,3931203,1062617998.0,3.30029860651e+11,3.29391372451e+11
2022-10-17,'600809,山西汾酒,271.58,276.09,266.82,276.0,277.94,-6.36,-2.2883,0.5037,6133941,1658097876.0,3.31347539947e+11,3.30706502515e+11
2022-10-14,'600809,山西汾酒,277.94,281.6,273.6,275.95,273.6,4.34,1.5863,0.5158,6281354,1749058363.0,3.39107206911e+11,3.38451157335e+11
2022-10-13,'600809,山西汾酒,273.6,284.0,272.2,283.0,278.5,-4.9,-1.7594,0.6933,8442885,2323970785.0,3.33812088259e+11,3.33166282819e+11
2022-10-12,'600809,山西汾酒,278.5,284.9,270.0,284.9,283.1,-4.6,-1.6249,0.6485,7896395,2170774888.0,3.39790448027e+11,3.39133076627e+11
2022-10-11,'600809,山西汾酒,283.1,286.9,275.0,284.0,283.1,0.0,0.0,0.4054,4936171,1392864187.0,3.45402785768e+11,3.44734556528e+11
2022-10-10,'600809,山西汾酒,283.1,302.5,281.0,302.05,302.89,-19.79,-6.5337,0.7058,8594635,2476798394.0,3.45402785768e+11,3.44734556528e+11
2022-09-30,'600809,山西汾酒,302.89,309.8,300.12,309.0,304.28,-1.39,-0.4568,0.2637,3211650,977504744.0,3.6954803879e+11,3.68833097234e+11
2022-09-29,'600809,山西汾酒,304.28,311.0,303.0,310.0,306.85,-2.57,-0.8375,0.3512,4277108,1306400672.0,3.71243940846e+11,3.70525718334e+11
2022-09-28,'600809,山西汾酒,306.85,314.95,305.1,307.0,308.18,-1.33,-0.4316,0.4479,5454162,1691344077.0,3.74379529541e+11,3.73655240801e+11
2022-09-27,'600809,山西汾酒,308.18,309.83,298.05,298.29,299.65,8.53,2.8467,0.5636,6862905,2102352342.0,3.76002227192e+11,3.7527479912e+11
2022-09-26,'600809,山西汾酒,299.65,303.19,288.0,289.35,291.89,7.76,2.6585,0.5175,6301570,1891397417.0,3.65595000902e+11,3.64887707042e+11
2022-09-23,'600809,山西汾酒,291.89,295.0,289.52,292.44,292.44,-0.55,-0.1881,0.274,3336802,975559390.0,3.56127231148e+11,3.55438253992e+11
2022-09-22,'600809,山西汾酒,292.44,294.0,288.38,290.13,292.15,0.29,0.0993,0.2057,2504504,729079403.0,3.5679827153e+11,3.56107996154e+11
2022-09-21,'600809,山西汾酒,292.15,298.0,291.01,294.34,296.09,-3.94,-1.3307,0.2217,2699447,791216073.0,3.56444450237e+11,3.55754859377e+11
2022-09-20,'600809,山西汾酒,296.09,299.25,290.8,296.41,293.75,2.34,0.7966,0.3258,3967414,1173351364.0,3.6125153952e+11,3.60552648684e+11
