ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2022-11-10,'000858,Îå Á¸ Òº,145.76,146.56,143.71,144.49,145.4,0.36,0.2476,0.4553,17674813,2568169858.62,5.65783182809e+11,5.65783182809e+11
2022-11-09,'000858,Îå Á¸ Òº,145.4,149.05,145.08,147.2,147.49,-2.09,-1.417,0.3896,15124223,2208052553.76,5.64385803927e+11,5.64385803927e+11
2022-11-08,'000858,Îå Á¸ Òº,147.49,152.27,146.11,151.01,151.14,-3.65,-2.415,0.6072,23567786,3491479586.25,5.72498364657e+11,5.72498364657e+11
2022-11-07,'000858,Îå Á¸ Òº,151.14,152.7,147.68,149.0,150.0,1.14,0.76,0.5892,22869078,3435765568.23,5.86666233876e+11,5.86666233876e+11
2022-11-04,'000858,Îå Á¸ Òº,150.0,152.0,140.35,140.5,140.92,9.08,6.4434,1.234,47898344,7099560990.25,5.8224120075e+11,5.8224120075e+11
2022-11-03,'000858,Îå Á¸ Òº,140.92,141.5,139.71,141.01,143.62,-2.7,-1.88,0.4968,19281931,2710951378.21,5.46996200065e+11,5.46996200065e+11
2022-11-02,'000858,Îå Á¸ Òº,143.62,146.38,140.06,142.0,142.58,1.04,0.7294,0.821,31867439,4565035333.85,5.57476541678e+11,5.57476541678e+11
2022-11-01,'000858,Îå Á¸ Òº,142.58,142.58,133.41,135.55,133.5,9.08,6.8015,1.0087,39155069,5440179979.74,5.53439669353e+11,5.53439669353e+11
2022-10-31,'000858,Îå Á¸ Òº,133.5,136.4,132.33,135.2,137.5,-4.0,-2.9091,0.582,22591665,3030064410.1,5.18194668668e+11,5.18194668668e+11
2022-10-28,'000858,Îå Á¸ Òº,137.5,139.97,136.17,137.56,137.1,0.4,0.2918,0.6592,25586220,3534562740.41,5.33721100688e+11,5.33721100688e+11
2022-10-27,'000858,Îå Á¸ Òº,137.1,145.07,136.58,144.98,143.4,-6.3,-4.3933,0.9523,36965491,5154612979.53,5.32168457486e+11,5.32168457486e+11
2022-10-26,'000858,Îå Á¸ Òº,143.4,145.9,142.0,142.9,142.12,1.28,0.9006,0.4627,17959323,2580590731.16,5.56622587917e+11,5.56622587917e+11
2022-10-25,'000858,Îå Á¸ Òº,142.12,145.27,140.51,140.75,143.23,-1.11,-0.775,0.5401,20962963,2986369243.41,5.51654129671e+11,5.51654129671e+11
2022-10-24,'000858,Îå Á¸ Òº,143.23,150.41,142.25,150.01,152.15,-8.92,-5.8626,0.8863,34403887,5003671162.98,5.55962714556e+11,5.55962714556e+11
2022-10-21,'000858,Îå Á¸ Òº,152.15,154.13,151.5,154.0,154.15,-2.0,-1.2974,0.4205,16321002,2488390106.18,5.90586657961e+11,5.90586657961e+11
2022-10-20,'000858,Îå Á¸ Òº,154.15,156.8,152.0,152.5,154.5,-0.35,-0.2265,0.4153,16120045,2484510763.75,5.98349873971e+11,5.98349873971e+11
2022-10-19,'000858,Îå Á¸ Òº,154.5,158.51,154.0,158.51,158.7,-4.2,-2.6465,0.4481,17392932,2703461176.3,5.99708436772e+11,5.99708436772e+11
2022-10-18,'000858,Îå Á¸ Òº,158.7,160.98,158.02,158.68,157.65,1.05,0.666,0.3599,13968916,2225727909.43,6.16011190394e+11,6.16011190394e+11
2022-10-17,'000858,Îå Á¸ Òº,157.65,158.5,155.29,157.68,159.12,-1.47,-0.9238,0.3779,14670055,2301214745.08,6.11935501988e+11,6.11935501988e+11
2022-10-14,'000858,Îå Á¸ Òº,159.12,160.3,154.57,154.58,153.57,5.55,3.614,0.5892,22872293,3619001261.22,6.17641465756e+11,6.17641465756e+11
2022-10-13,'000858,Îå Á¸ Òº,153.57,155.68,152.51,154.99,156.6,-3.03,-1.9349,0.4931,19140141,2950015935.78,5.96098541328e+11,5.96098541328e+11
2022-10-12,'000858,Îå Á¸ Òº,156.6,158.3,152.0,158.3,158.59,-1.99,-1.2548,0.6244,24238545,3740666460.43,6.07859813583e+11,6.07859813583e+11
2022-10-11,'000858,Îå Á¸ Òº,158.59,160.01,154.9,158.91,158.9,-0.31,-0.1951,0.4222,16389813,2587296299.44,6.15584213513e+11,6.15584213513e+11
2022-10-10,'000858,Îå Á¸ Òº,158.9,170.1,158.69,169.5,169.23,-10.33,-6.1041,0.6608,25650912,4179453267.87,6.16787511994e+11,6.16787511994e+11
2022-09-30,'000858,Îå Á¸ Òº,169.23,172.0,168.86,169.89,168.51,0.72,0.4273,0.4303,16701001,2843915545.0,6.56884522686e+11,6.56884522686e+11
2022-09-29,'000858,Îå Á¸ Òº,168.51,172.52,167.55,172.49,169.6,-1.09,-0.6427,0.4525,17564712,2971843108.63,6.54089764923e+11,6.54089764923e+11
2022-09-28,'000858,Îå Á¸ Òº,169.6,172.54,169.5,170.55,170.83,-1.23,-0.72,0.6294,24431050,4176068020.04,6.58320717648e+11,6.58320717648e+11
2022-09-27,'000858,Îå Á¸ Òº,170.83,171.4,161.99,163.93,162.11,8.72,5.3791,0.9131,35443991,5929460447.01,6.63095095494e+11,6.63095095494e+11
2022-09-26,'000858,Îå Á¸ Òº,162.11,163.99,157.77,158.0,159.13,2.98,1.8727,0.5421,21041611,3411760442.77,6.29247473691e+11,6.29247473691e+11
2022-09-23,'000858,Îå Á¸ Òº,159.13,160.62,157.9,158.0,158.9,0.23,0.1447,0.3098,12025892,1916778416.38,6.17680281836e+11,6.17680281836e+11
2022-09-22,'000858,Îå Á¸ Òº,158.9,162.29,158.55,162.0,163.45,-4.55,-2.7837,0.4692,18211404,2916788948.25,6.16787511994e+11,6.16787511994e+11
2022-09-21,'000858,Îå Á¸ Òº,163.45,165.77,163.3,165.19,165.79,-2.34,-1.4114,0.3289,12764774,2093973068.43,6.34448828417e+11,6.34448828417e+11
