日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2022-11-10,'600365,ST通葡,4.31,4.36,4.29,4.31,4.35,-0.04,-0.9195,0.6412,2564702,11080109.0,1833474000.0,1724000000.0
2022-11-09,'600365,ST通葡,4.35,4.4,4.31,4.36,4.36,-0.01,-0.2294,0.7964,3185502,13856753.0,1850490000.0,1740000000.0
2022-11-08,'600365,ST通葡,4.36,4.42,4.26,4.31,4.3,0.06,1.3953,1.0307,4122800,17921347.0,1854744000.0,1744000000.0
2022-11-07,'600365,ST通葡,4.3,4.32,4.23,4.28,4.28,0.02,0.4673,1.2081,4832560,20728394.0,1829220000.0,1720000000.0
2022-11-04,'600365,ST通葡,4.28,4.31,4.18,4.2,4.2,0.08,1.9048,0.7705,3082008,13136581.0,1820712000.0,1712000000.0
2022-11-03,'600365,ST通葡,4.2,4.22,4.15,4.2,4.21,-0.01,-0.2375,0.6075,2430000,10159250.0,1786680000.0,1680000000.0
2022-11-02,'600365,ST通葡,4.21,4.26,4.16,4.19,4.2,0.01,0.2381,0.877,3508004,14719063.0,1790934000.0,1684000000.0
2022-11-01,'600365,ST通葡,4.2,4.2,4.06,4.09,4.07,0.13,3.1941,0.9816,3926500,16308425.0,1786680000.0,1680000000.0
2022-10-31,'600365,ST通葡,4.07,4.17,4.03,4.04,4.06,0.01,0.2463,0.8055,3221802,13174345.0,1731378000.0,1628000000.0
2022-10-28,'600365,ST通葡,4.06,4.27,4.06,4.24,4.27,-0.21,-4.918,1.569,6275800,25852620.0,1727124000.0,1624000000.0
2022-10-27,'600365,ST通葡,4.27,4.32,4.24,4.26,4.25,0.02,0.4706,0.982,3928000,16828665.0,1816458000.0,1708000000.0
2022-10-26,'600365,ST通葡,4.25,4.34,4.22,4.29,4.27,-0.02,-0.4684,0.9608,3843002,16437308.0,1807950000.0,1700000000.0
2022-10-25,'600365,ST通葡,4.27,4.3,4.2,4.27,4.26,0.01,0.2347,0.779,3116000,13232289.0,1816458000.0,1708000000.0
2022-10-24,'600365,ST通葡,4.26,4.47,4.26,4.47,4.48,-0.22,-4.9107,1.856,7423900,32164400.0,1812204000.0,1704000000.0
2022-10-21,'600365,ST通葡,4.48,4.62,4.48,4.61,4.61,-0.13,-2.82,0.9439,3775600,17083635.0,1905792000.0,1792000000.0
2022-10-20,'600365,ST通葡,4.61,4.63,4.46,4.52,4.55,0.06,1.3187,1.0592,4236900,19244179.0,1961094000.0,1844000000.0
2022-10-19,'600365,ST通葡,4.55,4.68,4.53,4.67,4.64,-0.09,-1.9397,1.1997,4798700,22085123.0,1935570000.0,1820000000.0
2022-10-18,'600365,ST通葡,4.64,4.74,4.63,4.7,4.69,-0.05,-1.0661,1.4409,5763502,26975761.0,1973856000.0,1856000000.0
2022-10-17,'600365,ST通葡,4.69,4.76,4.6,4.63,4.63,0.06,1.2959,1.652,6607900,31065211.0,1995126000.0,1876000000.0
