ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2022-11-10,'000799,¾Æ¹í¾Æ,123.82,124.65,119.6,121.19,121.5,2.32,1.9095,2.1747,7066388,868631479.27,40232706303.6,40232706303.6
2022-11-09,'000799,¾Æ¹í¾Æ,121.5,123.33,120.35,121.8,121.7,-0.2,-0.1643,1.3343,4335448,527580397.39,39478871070.0,39478871070.0
2022-11-08,'000799,¾Æ¹í¾Æ,121.7,126.08,120.33,124.34,124.42,-2.72,-2.1861,2.2346,7260917,889029805.78,39543856866.0,39543856866.0
2022-11-07,'000799,¾Æ¹í¾Æ,124.42,125.5,122.18,123.03,125.0,-0.58,-0.464,2.217,7203796,894705103.59,40427663691.6,40427663691.6
2022-11-04,'000799,¾Æ¹í¾Æ,125.0,128.0,121.5,121.76,121.95,3.05,2.501,3.7877,12307487,1541445573.55,40616122500.0,40616122500.0
2022-11-03,'000799,¾Æ¹í¾Æ,121.95,122.69,118.1,118.8,120.65,1.3,1.0775,2.6809,8711119,1051486215.84,39625089111.0,39625089111.0
2022-11-02,'000799,¾Æ¹í¾Æ,120.65,123.49,112.29,113.67,112.26,8.39,7.4737,5.4845,17820783,2106744455.34,39202681437.0,39202681437.0
2022-11-01,'000799,¾Æ¹í¾Æ,112.26,112.26,103.01,103.05,102.05,10.21,10.0049,4.0035,13008534,1426751798.37,36476527294.8,36476527294.8
2022-10-31,'000799,¾Æ¹í¾Æ,102.05,104.68,100.18,100.25,103.0,-0.95,-0.9223,1.9285,6266125,642063309.26,33159002409.0,33159002409.0
2022-10-28,'000799,¾Æ¹í¾Æ,103.0,109.38,102.89,107.3,109.1,-6.1,-5.5912,2.2615,7348113,776907562.48,33467684940.0,33467684940.0
2022-10-27,'000799,¾Æ¹í¾Æ,109.1,115.81,109.0,114.25,114.25,-5.15,-4.5077,1.8767,6098055,678895415.41,35449751718.0,35449751718.0
2022-10-26,'000799,¾Æ¹í¾Æ,114.25,114.99,111.5,111.88,111.88,2.37,2.1183,1.5247,4954303,562397086.55,37123135965.0,37123135965.0
2022-10-25,'000799,¾Æ¹í¾Æ,111.88,113.59,109.08,109.62,111.58,0.3,0.2689,1.2803,4159952,463102285.09,36353054282.4,36353054282.4
2022-10-24,'000799,¾Æ¹í¾Æ,111.58,118.7,111.5,117.0,118.8,-7.22,-6.0774,1.9426,6312171,721483195.56,36255575588.4,36255575588.4
2022-10-21,'000799,¾Æ¹í¾Æ,118.8,122.22,118.8,121.58,121.5,-2.7,-2.2222,1.0024,3257164,391289263.91,38601562824.0,38601562824.0
2022-10-20,'000799,¾Æ¹í¾Æ,121.5,124.2,118.27,119.0,120.0,1.5,1.25,1.3936,4528103,551536509.7,39478871070.0,39478871070.0
2022-10-19,'000799,¾Æ¹í¾Æ,120.0,123.3,119.52,122.15,123.42,-3.42,-2.771,1.1809,3837038,464242510.38,38991477600.0,38991477600.0
2022-10-18,'000799,¾Æ¹í¾Æ,123.42,126.47,123.32,126.0,124.97,-1.55,-1.2403,1.0443,3393307,422087754.42,40102734711.6,40102734711.6
2022-10-17,'000799,¾Æ¹í¾Æ,124.97,126.78,122.13,122.22,123.48,1.49,1.2067,1.6173,5254940,652995212.99,40606374630.6,40606374630.6
2022-10-14,'000799,¾Æ¹í¾Æ,123.48,124.0,117.1,119.0,116.62,6.86,5.8824,2.3505,7637566,924943768.54,40122230450.4,40122230450.4
2022-10-13,'000799,¾Æ¹í¾Æ,116.62,119.54,115.51,116.2,117.57,-0.95,-0.808,1.3982,4543260,534626246.92,37893217647.6,37893217647.6
2022-10-12,'000799,¾Æ¹í¾Æ,117.57,117.95,111.5,117.95,117.95,-0.38,-0.3222,2.1929,7125519,813572976.32,38201900178.6,38201900178.6
2022-10-11,'000799,¾Æ¹í¾Æ,117.95,119.3,115.2,118.21,118.91,-0.96,-0.8073,1.5112,4910297,575804832.24,38325373191.0,38325373191.0
2022-10-10,'000799,¾Æ¹í¾Æ,118.91,124.99,118.33,124.5,125.65,-6.74,-5.3641,1.8041,5862176,711319869.85,38637305011.8,38637305011.8
2022-09-30,'000799,¾Æ¹í¾Æ,125.65,129.58,125.55,127.6,127.92,-2.27,-1.7745,1.2083,3925972,499033510.4,40827326337.0,40827326337.0
2022-09-29,'000799,¾Æ¹í¾Æ,127.92,130.86,127.03,129.51,127.99,-0.07,-0.0547,1.6732,5436803,699635008.25,41564915121.6,41564915121.6
2022-09-28,'000799,¾Æ¹í¾Æ,127.99,134.27,127.54,130.0,131.01,-3.02,-2.3052,2.4391,7925482,1034046957.13,41587660150.2,41587660150.2
2022-09-27,'000799,¾Æ¹í¾Æ,131.01,132.0,122.42,124.2,122.0,9.01,7.3852,3.2458,10546467,1342070575.17,42568945669.8,42568945669.8
2022-09-26,'000799,¾Æ¹í¾Æ,122.0,124.5,115.66,116.59,121.91,0.09,0.0738,1.8682,6070401,738463523.47,39641335560.0,39641335560.0
2022-09-23,'000799,¾Æ¹í¾Æ,121.91,124.4,121.23,122.86,122.9,-0.99,-0.8055,1.2324,4004283,492123833.07,39612091951.8,39612091951.8
2022-09-22,'000799,¾Æ¹í¾Æ,122.9,126.3,121.0,125.01,126.65,-3.75,-2.9609,1.6149,5247141,649325473.15,39933771642.0,39933771642.0
2022-09-21,'000799,¾Æ¹í¾Æ,126.65,128.54,125.67,128.5,128.54,-1.89,-1.4704,1.0514,3416261,433348541.39,41152255317.0,41152255317.0
2022-09-20,'000799,¾Æ¹í¾Æ,128.54,128.61,124.02,126.01,125.06,3.48,2.7827,1.696,5510948,698699669.76,41766371089.2,41766371089.2
2022-09-19,'000799,¾Æ¹í¾Æ,125.06,127.48,122.55,124.0,125.68,-0.62,-0.4933,1.428,4640103,580613224.94,40635618238.8,40635618238.8
2022-09-16,'000799,¾Æ¹í¾Æ,125.68,131.37,125.68,129.52,131.02,-5.34,-4.0757,1.6537,5373358,684882199.03,40837074206.4,40837074206.4
2022-09-15,'000799,¾Æ¹í¾Æ,131.02,134.7,128.8,134.0,133.7,-2.68,-2.0045,1.7318,5627130,743570598.63,42572194959.6,42572194959.6
2022-09-14,'000799,¾Æ¹í¾Æ,133.7,135.98,133.05,134.99,137.06,-3.36,-2.4515,1.4669,4766307,639676238.27,43443004626.0,43443004626.0
2022-09-13,'000799,¾Æ¹í¾Æ,137.06,138.99,137.03,137.8,136.88,0.18,0.1315,1.2429,4038557,557102589.71,44534765998.8,44534765998.8
2022-09-09,'000799,¾Æ¹í¾Æ,136.88,137.33,134.56,136.3,136.31,0.57,0.4182,0.9319,3027922,413610472.59,44476278782.4,44476278782.4
2022-09-08,'000799,¾Æ¹í¾Æ,136.31,139.0,136.25,137.97,136.92,-0.61,-0.4455,1.0724,3484676,479259284.17,44291069263.8,44291069263.8
2022-09-07,'000799,¾Æ¹í¾Æ,136.92,138.38,136.17,138.38,138.5,-1.58,-1.1408,0.9507,3089114,422626317.1,44489275941.6,44489275941.6
2022-09-06,'000799,¾Æ¹í¾Æ,138.5,138.8,135.51,137.91,137.93,0.57,0.4133,1.4775,4800963,656848741.16,45002663730.0,45002663730.0
2022-09-05,'000799,¾Æ¹í¾Æ,137.93,142.83,136.26,141.6,143.7,-5.77,-4.0153,1.9191,6235718,861603640.24,44817454211.4,44817454211.4
2022-09-02,'000799,¾Æ¹í¾Æ,143.7,146.2,142.98,145.8,145.9,-2.2,-1.5079,1.185,3850379,553692753.01,46692294426.0,46692294426.0
2022-09-01,'000799,¾Æ¹í¾Æ,145.9,148.7,145.36,148.41,149.26,-3.36,-2.2511,1.3956,4534808,664049781.14,47407138182.0,47407138182.0
2022-08-31,'000799,¾Æ¹í¾Æ,149.26,150.61,145.02,145.9,145.9,3.36,2.3029,2.1736,7062542,1051826292.2,48498899554.8,48498899554.8
2022-08-30,'000799,¾Æ¹í¾Æ,145.9,148.66,143.92,147.51,149.95,-4.05,-2.7009,1.782,5790086,845703676.46,47407138182.0,47407138182.0
2022-08-29,'000799,¾Æ¹í¾Æ,149.95,150.59,146.89,147.1,148.99,0.96,0.6443,1.4275,4638428,691408345.65,48723100551.0,48723100551.0
2022-08-26,'000799,¾Æ¹í¾Æ,148.99,151.64,147.5,148.36,146.56,2.43,1.658,2.1134,6867000,1028087115.28,48411168730.2,48411168730.2
2022-08-25,'000799,¾Æ¹í¾Æ,146.56,146.98,142.19,142.81,142.1,4.46,3.1386,1.8024,5856643,848435074.45,47621591308.8,47621591308.8
2022-08-24,'000799,¾Æ¹í¾Æ,142.1,145.78,142.0,145.01,145.05,-2.95,-2.0338,1.3703,4452439,641244819.15,46172408058.0,46172408058.0
2022-08-23,'000799,¾Æ¹í¾Æ,145.05,147.65,144.68,147.09,147.4,-2.35,-1.5943,1.1208,3641668,529480157.23,47130948549.0,47130948549.0
2022-08-22,'000799,¾Æ¹í¾Æ,147.4,148.25,144.58,147.0,147.0,0.4,0.2721,0.8847,2874663,422187957.59,47894531652.0,47894531652.0
2022-08-19,'000799,¾Æ¹í¾Æ,147.0,149.3,146.66,147.0,148.22,-1.22,-0.8231,0.9454,3071750,454062202.32,47764560060.0,47764560060.0
2022-08-18,'000799,¾Æ¹í¾Æ,148.22,150.2,147.71,149.98,152.98,-4.76,-3.1115,1.709,5552975,824977045.62,48160973415.6,48160973415.6
2022-08-17,'000799,¾Æ¹í¾Æ,152.98,154.28,150.34,153.3,152.85,0.13,0.0851,1.2229,3973570,605667954.3,49707635360.4,49707635360.4
2022-08-16,'000799,¾Æ¹í¾Æ,152.85,153.32,150.81,150.95,150.95,1.9,1.2587,1.2712,4130461,627777721.71,49665394593.0,49665394593.0
2022-08-15,'000799,¾Æ¹í¾Æ,150.95,152.9,150.01,152.0,152.92,-1.97,-1.2883,1.0762,3496950,528929426.68,49048029531.0,49048029531.0
2022-08-12,'000799,¾Æ¹í¾Æ,152.92,153.37,150.0,151.64,151.3,1.62,1.0707,1.3636,4430752,673730058.6,49688139621.6,49688139621.6
2022-08-11,'000799,¾Æ¹í¾Æ,151.3,151.33,147.03,147.39,146.46,4.84,3.3047,1.8648,6059320,907528723.25,49161754674.0,49161754674.0
2022-08-10,'000799,¾Æ¹í¾Æ,146.46,150.43,145.7,149.4,149.49,-3.03,-2.0269,1.2235,3975584,586028325.89,47589098410.8,47589098410.8
2022-08-09,'000799,¾Æ¹í¾Æ,149.49,151.5,149.0,151.0,151.01,-1.52,-1.0066,0.9077,2949269,441784668.89,48573633220.2,48573633220.2
2022-08-08,'000799,¾Æ¹í¾Æ,151.01,153.0,149.0,150.0,150.79,0.22,0.1459,1.0858,3528009,533901647.19,49067525269.8,49067525269.8
2022-08-05,'000799,¾Æ¹í¾Æ,150.79,150.79,148.0,149.0,149.38,1.41,0.9439,1.1697,3800792,568241399.9,48996040894.2,48996040894.2
2022-08-04,'000799,¾Æ¹í¾Æ,149.38,149.38,145.09,146.5,145.4,3.98,2.7373,1.432,4652882,685751150.63,48537891032.4,48537891032.4
2022-08-03,'000799,¾Æ¹í¾Æ,145.4,148.18,144.65,146.2,145.2,0.2,0.1377,1.135,3687933,538685550.62,47244673692.0,47244673692.0
2022-08-02,'000799,¾Æ¹í¾Æ,145.2,149.32,145.11,147.82,149.33,-4.13,-2.7657,1.5091,4903609,720009325.41,47179687896.0,47179687896.0
2022-08-01,'000799,¾Æ¹í¾Æ,149.33,150.22,145.88,145.89,147.47,1.86,1.2613,1.3578,4411864,656959016.91,48521644583.4,48521644583.4
2022-07-29,'000799,¾Æ¹í¾Æ,147.47,154.8,146.06,154.8,154.53,-7.06,-4.5687,2.4352,7912574,1180251153.07,47917276680.6,47917276680.6
2022-07-28,'000799,¾Æ¹í¾Æ,155.83,157.66,155.7,156.7,156.57,-0.74,-0.4726,0.9598,3118762,487449669.87,50633682953.4,50633682953.4
2022-07-27,'000799,¾Æ¹í¾Æ,156.57,158.77,156.0,158.0,159.25,-2.68,-1.6829,0.9993,3247064,509339767.01,50874130398.6,50874130398.6
2022-07-26,'000799,¾Æ¹í¾Æ,159.25,161.74,158.0,158.5,157.81,1.44,0.9125,1.2922,4198679,672332105.67,51744940065.0,51744940065.0
2022-07-25,'000799,¾Æ¹í¾Æ,157.81,159.48,155.08,157.0,158.1,-0.29,-0.1834,1.2013,3903244,613494068.51,51277042333.8,51277042333.8
2022-07-22,'000799,¾Æ¹í¾Æ,158.1,162.2,156.8,160.05,159.8,-1.7,-1.0638,1.329,4318208,686774942.18,51371271738.0,51371271738.0
2022-07-21,'000799,¾Æ¹í¾Æ,159.8,162.79,159.5,161.5,162.77,-2.97,-1.8247,1.1676,3794010,609974558.89,51923651004.0,51923651004.0
2022-07-20,'000799,¾Æ¹í¾Æ,162.77,164.36,162.11,162.9,162.35,0.42,0.2587,1.4808,4811626,784830249.72,52888690074.6,52888690074.6
2022-07-19,'000799,¾Æ¹í¾Æ,162.35,162.35,159.05,160.5,160.66,1.69,1.0519,1.2322,4003909,643301229.34,52752219903.0,52752219903.0
2022-07-18,'000799,¾Æ¹í¾Æ,160.66,163.01,157.28,162.92,162.91,-2.25,-1.3811,1.8013,5852939,935219322.49,52203089926.8,52203089926.8
2022-07-15,'000799,¾Æ¹í¾Æ,162.91,165.8,158.0,159.52,161.39,1.52,0.9418,2.4341,7909253,1290971675.91,52934180131.8,52934180131.8
2022-07-14,'000799,¾Æ¹í¾Æ,161.39,162.91,160.01,160.89,162.06,-0.67,-0.4134,1.3151,4273290,690203822.4,52440288082.2,52440288082.2
2022-07-13,'000799,¾Æ¹í¾Æ,162.06,164.39,161.11,162.56,162.63,-0.57,-0.3505,1.3333,4332248,704801352.83,52657990498.8,52657990498.8
2022-07-12,'000799,¾Æ¹í¾Æ,162.63,166.51,160.84,163.65,163.5,-0.87,-0.5321,1.4085,4576469,747389499.0,52843200017.4,52843200017.4
2022-07-11,'000799,¾Æ¹í¾Æ,163.5,168.0,160.66,167.4,171.03,-7.53,-4.4027,2.4097,7829760,1278807306.46,53125888230.0,53125888230.0
2022-07-08,'000799,¾Æ¹í¾Æ,171.03,174.0,168.51,169.98,169.9,1.13,0.6651,1.9438,6315989,1083055125.89,55572603449.4,55572603449.4
2022-07-07,'000799,¾Æ¹í¾Æ,169.9,170.78,165.01,170.18,170.18,-0.28,-0.1645,1.5808,5136336,865233121.98,55205433702.0,55205433702.0
2022-07-06,'000799,¾Æ¹í¾Æ,170.18,175.7,169.0,174.5,176.85,-6.67,-3.7716,2.4616,7998407,1371235761.8,55296413816.4,55296413816.4
2022-07-05,'000799,¾Æ¹í¾Æ,176.85,182.5,174.88,182.5,181.93,-5.08,-2.7923,3.0788,10004020,1768957737.73,57463690113.0,57463690113.0
