日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2022-11-10,'600199,金种子酒,23.74,24.17,23.63,24.1,24.01,-0.27,-1.1245,1.65,10853760,259439187.0,15616096601.8,15616096601.8
2022-11-09,'600199,金种子酒,24.01,24.29,23.7,24.01,23.9,0.11,0.4603,1.7263,11355528,273173532.0,15793701744.2,15793701744.2
2022-11-08,'600199,金种子酒,23.9,24.47,23.77,24.3,24.3,-0.4,-1.6461,2.4277,15969158,385110003.0,15721344093.6,15721344093.6
2022-11-07,'600199,金种子酒,24.3,24.47,23.36,23.5,23.77,0.53,2.2297,3.7095,24400843,585712102.0,15984462823.2,15984462823.2
2022-11-04,'600199,金种子酒,23.77,24.24,22.3,22.43,22.05,1.72,7.8005,5.336,35099766,828645906.0,15635830506.5,15635830506.5
2022-11-03,'600199,金种子酒,22.05,22.24,21.35,21.4,21.65,0.4,1.8476,2.4214,15927705,346734323.0,14504419969.2,14504419969.2
2022-11-02,'600199,金种子酒,21.65,22.15,20.94,21.03,21.26,0.39,1.8344,3.363,22121529,477034381.0,14241301239.6,14241301239.6
2022-11-01,'600199,金种子酒,21.26,21.53,20.08,20.09,19.95,1.31,6.5664,3.4021,22379170,470027915.0,13984760478.2,13984760478.2
2022-10-31,'600199,金种子酒,19.95,20.2,19.65,20.01,20.62,-0.67,-3.2493,2.317,15241130,303549580.0,13123046638.8,13123046638.8
2022-10-28,'600199,金种子酒,20.62,21.4,20.56,21.0,21.3,-0.68,-3.1925,1.5408,10135590,212723240.0,13563770510.9,13563770510.9
2022-10-27,'600199,金种子酒,21.3,22.23,21.2,22.15,21.87,-0.57,-2.6063,1.7911,11782084,254278085.0,14011072351.2,14011072351.2
2022-10-26,'600199,金种子酒,21.87,22.9,21.01,21.15,20.92,0.95,4.5411,3.548,23338942,518134464.0,14386016540.9,14386016540.9
2022-10-25,'600199,金种子酒,20.92,21.06,20.11,20.25,20.27,0.65,3.2067,2.2858,15036061,310410816.0,13761109558.1,13761109558.1
2022-10-24,'600199,金种子酒,20.27,21.17,20.13,21.17,21.17,-0.9,-4.2513,1.9174,12612582,259640036.0,13333541622.5,13333541622.5
2022-10-21,'600199,金种子酒,21.17,21.64,21.01,21.64,21.66,-0.49,-2.2622,1.0863,7145869,152131990.0,13925558764.1,13925558764.1
2022-10-20,'600199,金种子酒,21.66,22.06,21.19,21.37,21.58,0.08,0.3707,1.388,9130041,197989334.0,14247879207.8,14247879207.8
2022-10-19,'600199,金种子酒,21.58,22.3,21.57,22.0,22.3,-0.72,-3.2287,1.4657,9641258,210131160.0,14195255461.9,14195255461.9
2022-10-18,'600199,金种子酒,22.3,22.84,22.14,22.5,22.26,0.04,0.1797,1.6552,10887672,244852313.0,14668869175.2,14668869175.2
2022-10-17,'600199,金种子酒,22.26,22.43,22.03,22.1,22.31,-0.05,-0.2241,1.2201,8026042,178946986.0,14642557302.2,14642557302.2
2022-10-14,'600199,金种子酒,22.31,22.48,21.96,21.97,21.85,0.46,2.1053,1.4433,9493826,211400988.0,14675447143.4,14675447143.4
2022-10-13,'600199,金种子酒,21.85,22.34,21.59,21.8,21.88,-0.03,-0.1371,1.49,9801469,215807973.0,14372860604.4,14372860604.4
2022-10-12,'600199,金种子酒,21.88,21.93,21.01,21.65,21.79,0.09,0.413,1.6384,10777414,231318889.0,14392594509.1,14392594509.1
2022-10-11,'600199,金种子酒,21.79,21.89,20.74,21.4,21.38,0.41,1.9177,2.0905,13750957,292271578.0,14333392795.0,14333392795.0
2022-10-10,'600199,金种子酒,21.38,23.09,21.3,22.92,22.9,-1.52,-6.6376,2.293,15083130,331487278.0,14063696097.1,14063696097.1
2022-09-30,'600199,金种子酒,22.9,23.65,22.9,23.38,23.38,-0.48,-2.053,1.2737,8378375,193949902.0,15063547269.6,15063547269.6
2022-09-29,'600199,金种子酒,23.38,24.24,23.38,23.95,23.82,-0.44,-1.8472,1.4942,9828860,233807613.0,15379289745.1,15379289745.1
2022-09-28,'600199,金种子酒,23.82,24.48,23.81,24.2,24.24,-0.42,-1.7327,1.6857,11088290,267390561.0,15668720347.7,15668720347.7
2022-09-27,'600199,金种子酒,24.24,24.35,23.44,23.6,23.53,0.71,3.0174,2.2365,14711454,353025448.0,15944995013.8,15944995013.8
2022-09-26,'600199,金种子酒,23.53,23.99,23.05,23.23,23.57,-0.04,-0.1697,1.4712,9677221,229410982.0,15477959268.7,15477959268.7
2022-09-23,'600199,金种子酒,23.57,23.95,23.3,23.61,23.71,-0.14,-0.5905,1.39,9143641,216428069.0,15504271141.7,15504271141.7
2022-09-22,'600199,金种子酒,23.71,24.05,23.55,23.69,23.86,-0.15,-0.6287,1.1953,7862347,187240650.0,15596362697.0,15596362697.0
2022-09-21,'600199,金种子酒,23.86,24.23,23.55,23.95,24.08,-0.22,-0.9136,1.6458,10826010,258077020.0,15695032220.6,15695032220.6
2022-09-20,'600199,金种子酒,24.08,24.1,22.9,23.1,23.09,0.99,4.2876,2.7568,18133984,428036066.0,15839747521.9,15839747521.9
2022-09-19,'600199,金种子酒,23.09,23.45,22.27,23.15,23.41,-0.32,-1.3669,2.4556,16152921,370134159.0,15188528666.2,15188528666.2
2022-09-16,'600199,金种子酒,23.41,24.48,23.33,24.45,24.32,-0.91,-3.7418,1.9143,12592189,299739997.0,15399023649.8,15399023649.8
2022-09-15,'600199,金种子酒,24.32,24.81,24.0,24.68,24.44,-0.12,-0.491,1.8426,12120533,296301568.0,15997618759.7,15997618759.7
2022-09-14,'600199,金种子酒,24.44,24.68,24.21,24.47,24.94,-0.5,-2.0048,1.5671,10308467,251922096.0,16076554378.6,16076554378.6
2022-09-13,'600199,金种子酒,24.94,25.42,24.86,25.07,24.93,0.01,0.0401,2.4893,16374425,411597204.0,16405452790.6,16405452790.6
2022-09-09,'600199,金种子酒,24.93,25.09,24.61,25.08,24.96,-0.03,-0.1202,1.378,9064673,225917923.0,16398874822.3,16398874822.3
2022-09-08,'600199,金种子酒,24.96,25.49,24.9,25.1,25.05,-0.09,-0.3593,1.7994,11836329,297600032.0,16418608727.0,16418608727.0
